method,window,cell_x,cell_y,center_x,center_y,query_count,valid_for_color,delta_mean,delta_median,delta_q25,delta_q75,improved_query_fraction,tied_query_fraction,degraded_query_fraction,all_seed_positive_query_fraction
BRIDGE-B,current_y,8,8,444806.82784375,4640096.62278125,40,True,-22.49166666666667,-1.5,-150.83333333333334,137.58333333333334,0.4,0.1,0.5,0.375
BRIDGE-B,current_y,8,9,444806.82784375,4642490.11334375,53,True,-13.220125786163523,0.0,-203.0,187.0,0.4528301886792453,0.07547169811320754,0.4716981132075472,0.4528301886792453
BRIDGE-B,current_y,8,10,444806.82784375,4644883.60390625,46,True,-40.19565217391305,-8.5,-65.83333333333334,10.5,0.30434782608695654,0.17391304347826086,0.5217391304347826,0.1956521739130435
BRIDGE-B,current_y,8,11,444806.82784375,4647277.09446875,27,True,-16.987654320987655,-62.0,-233.83333333333331,356.16666666666663,0.4444444444444444,0.0,0.5555555555555556,0.4444444444444444
BRIDGE-B,current_y,8,12,444806.82784375,4649670.5850312505,17,True,20.43137254901961,0.0,0.0,2.0,0.35294117647058826,0.4117647058823529,0.23529411764705882,0.35294117647058826
BRIDGE-B,current_y,8,13,444806.82784375,4652064.07559375,4,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,current_y,9,4,445888.94053125003,4630522.66053125,2,False,123.83333333333333,123.83333333333333,61.916666666666664,185.75,0.5,0.5,0.0,0.5
BRIDGE-B,current_y,9,5,445888.94053125003,4632916.15109375,6,True,11.999999999999998,40.166666666666664,-10.75,91.08333333333333,0.6666666666666666,0.0,0.3333333333333333,0.16666666666666666
BRIDGE-B,current_y,9,6,445888.94053125003,4635309.64165625,30,True,-57.36666666666669,-46.83333333333333,-153.66666666666666,150.75,0.43333333333333335,0.0,0.5666666666666667,0.16666666666666666
BRIDGE-B,current_y,9,7,445888.94053125003,4637703.13221875,79,True,-108.66244725738397,-56.333333333333336,-295.3333333333333,50.833333333333336,0.3037974683544304,0.06329113924050633,0.6329113924050633,0.22784810126582278
BRIDGE-B,current_y,9,8,445888.94053125003,4640096.62278125,74,True,-308.0720720720721,-174.5,-619.75,-2.25,0.12162162162162163,0.0945945945945946,0.7837837837837838,0.12162162162162163
BRIDGE-B,current_y,9,9,445888.94053125003,4642490.11334375,114,True,-100.59064327485379,-1.5,-191.08333333333334,0.0,0.07017543859649122,0.42105263157894735,0.5087719298245614,0.07017543859649122
BRIDGE-B,current_y,9,10,445888.94053125003,4644883.60390625,85,True,-43.58039215686275,0.0,-10.666666666666666,21.0,0.3411764705882353,0.38823529411764707,0.27058823529411763,0.32941176470588235
BRIDGE-B,current_y,9,11,445888.94053125003,4647277.09446875,22,True,-81.87878787878789,-49.833333333333336,-287.75,76.83333333333333,0.45454545454545453,0.0,0.5454545454545454,0.45454545454545453
BRIDGE-B,current_y,9,12,445888.94053125003,4649670.5850312505,1,False,99.66666666666667,99.66666666666667,99.66666666666667,99.66666666666667,1.0,0.0,0.0,1.0
BRIDGE-B,current_y,10,2,446971.05321875,4625735.67940625,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,current_y,10,3,446971.05321875,4628129.169968749,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,current_y,10,4,446971.05321875,4630522.66053125,5,True,0.5333333333333333,0.0,0.0,0.0,0.2,0.8,0.0,0.0
