epoch,train_loss,train_huber,train_rank,validation_loss,validation_huber,validation_rank,validation_spearman
1.0,0.5244875550270081,0.3854433596134186,0.6952210664749146,0.5482046008110046,0.4091707468032837,0.6951693296432495,-0.8797251354081719
2.0,0.5244707465171814,0.3854435384273529,0.6951359510421753,0.5482044816017151,0.40917062759399414,0.69516921043396,-0.8796526641768779
3.0,0.5245285034179688,0.3854433596134186,0.6954258680343628,0.5482044816017151,0.40917062759399414,0.69516921043396,-0.8798152206343817
4.0,0.5245112776756287,0.38544362783432007,0.6953381896018982,0.5482046604156494,0.40917080640792847,0.6951693296432495,-0.8796592897206272
5.0,0.5245231986045837,0.38544341921806335,0.6953989863395691,0.5482044816017151,0.40917062759399414,0.69516921043396,-0.8797432019506775
6.0,0.5245227813720703,0.38544338941574097,0.6953970193862915,0.5482046604156494,0.40917080640792847,0.6951693296432495,-0.8798897496270338
7.0,0.5245175957679749,0.38544344902038574,0.6953707933425903,0.5482044816017151,0.40917065739631653,0.69516921043396,-0.8797734908349626
8.0,0.524519145488739,0.3854433000087738,0.6953793168067932,0.5482044816017151,0.40917062759399414,0.69516921043396,-0.8797415968300581
9.0,0.5245357155799866,0.3854432702064514,0.6954621076583862,0.5482048392295837,0.4091709554195404,0.6951695084571838,-0.8798527114277899
10.0,0.5245116353034973,0.38544341921806335,0.6953409910202026,0.5482048392295837,0.4091709554195404,0.6951694488525391,-0.8797354237968508
11.0,0.524529218673706,0.3854433596134186,0.6954293847084045,0.5482046008110046,0.4091707170009613,0.6951693296432495,-0.8796958753871005
12.0,0.5244972705841064,0.38544338941574097,0.6952692270278931,0.5482048988342285,0.4091709554195404,0.6951695680618286,-0.8798193359877362
13.0,0.5244725942611694,0.3854435384273529,0.6951451301574707,0.5482048392295837,0.4091709554195404,0.6951694488525391,-0.8796506065002007
14.0,0.5244902968406677,0.38544347882270813,0.6952340006828308,0.5482045412063599,0.4091707170009613,0.69516921043396,-0.8797493749807093
15.0,0.5244856476783752,0.3854433596134186,0.6952115297317505,0.5482046604156494,0.40917080640792847,0.6951693296432495,-0.8797251354081719
16.0,0.5245242118835449,0.38544341921806335,0.6954038143157959,0.5482048392295837,0.409170925617218,0.6951694488525391,-0.8797127893417573
17.0,0.5245128870010376,0.3854433000087738,0.6953480243682861,0.5482049584388733,0.40917104482650757,0.6951695680618286,-0.8797514326573865
18.0,0.5245163440704346,0.3854432702064514,0.6953654289245605,0.548204779624939,0.40917089581489563,0.6951694488525391,-0.8798522588145725
19.0,0.5245149731636047,0.3854433596134186,0.6953580975532532,0.5482045412063599,0.4091707170009613,0.6951692700386047,-0.8798296243711226
20.0,0.5244843363761902,0.38544347882270813,0.6952043771743774,0.5482045412063599,0.4091707170009613,0.6951692700386047,-0.8797677703717429
21.0,0.5245222449302673,0.38544344902038574,0.6953940391540527,0.5482048988342285,0.4091709554195404,0.6951695680618286,-0.8797658363941274
22.0,0.5245025157928467,0.3854435682296753,0.6952947378158569,0.548204779624939,0.40917089581489563,0.6951693892478943,-0.8797432019506775
23.0,0.5245040655136108,0.3854432702064514,0.6953040957450867,0.5391366481781006,0.4015474319458008,0.6879461407661438,0.9333641984834923
24.0,0.5152827501296997,0.37777283787727356,0.6875495314598083,0.5307433605194092,0.394477516412735,0.6813291311264038,0.9319155941026986
25.0,0.5072082281112671,0.370737224817276,0.6823551058769226,0.5228325128555298,0.3878041207790375,0.6751421093940735,0.9312015802956881
26.0,0.49944478273391724,0.3641034960746765,0.6767063140869141,0.5151572823524475,0.3813181519508362,0.6691955924034119,0.9304134901282961
27.0,0.4913927912712097,0.3576757609844208,0.6685852408409119,0.507322371006012,0.3746858537197113,0.6631825566291809,0.9303682212413963
28.0,0.48384803533554077,0.351109117269516,0.6636945605278015,0.4990966320037842,0.3677096664905548,0.6569348573684692,0.930310606294433
29.0,0.475547194480896,0.34420958161354065,0.6566881537437439,0.490573912858963,0.3604698181152344,0.6505204439163208,0.9302571067008241
30.0,0.4669875502586365,0.3370586633682251,0.6496443748474121,0.48165613412857056,0.35288193821907043,0.6438709497451782,0.9305246046688683
31.0,0.45833277702331543,0.3295423984527588,0.6439518928527832,0.47237324714660645,0.34496796131134033,0.6370264291763306,0.9305678158790909
32.0,0.44879889488220215,0.3216681480407715,0.6356537342071533,0.4625593423843384,0.33658483624458313,0.6298726201057434,0.9306007387059272
33.0,0.4393993020057678,0.31334301829338074,0.6302814483642578,0.45227062702178955,0.32777833938598633,0.6224614977836609,0.9305513544656728
34.0,0.4291304349899292,0.30461618304252625,0.6225712895393372,0.4414558410644531,0.3185029923915863,0.6147642135620117,0.9303826249781372
35.0,0.4191300570964813,0.29543933272361755,0.6184536218643188,0.4299492835998535,0.3086157441139221,0.606667697429657,0.9304793357819686
36.0,0.4070594310760498,0.2856862545013428,0.6068658828735352,0.42994940280914307,0.30861589312553406,0.6066675782203674,0.9304793357819686
37.0,0.40802982449531555,0.2856862246990204,0.6117179989814758,0.4188702702522278,0.29907920956611633,0.5989553332328796,0.9304587590151959
38.0,0.396434485912323,0.27631208300590515,0.6006119847297668,0.40821969509124756,0.2898995876312256,0.5916005969047546,0.9305595851723819
39.0,0.38586634397506714,0.26731806993484497,0.5927413702011108,0.3980928063392639,0.281170517206192,0.5846114158630371,0.9304402399251006
40.0,0.37720656394958496,0.2588173449039459,0.5919460654258728,0.3883311450481415,0.27274689078330994,0.5779212117195129,0.9304546436618414
41.0,0.36805182695388794,0.25067734718322754,0.5868724584579468,0.37891873717308044,0.26461896300315857,0.5714988112449646,0.9303599905346873
42.0,0.3579600751399994,0.24290278553962708,0.5752864480018616,0.3698437809944153,0.2567802369594574,0.565317690372467,0.9303599905346873
43.0,0.34778425097465515,0.2354889214038849,0.5614766478538513,0.36112233996391296,0.24924905598163605,0.5593664646148682,0.9303023755877239
44.0,0.3402690589427948,0.22842682898044586,0.5592111349105835,0.3527746796607971,0.24204468727111816,0.5536499619483948,0.9303064909410784
45.0,0.3322780728340149,0.2217330038547516,0.5527252554893494,0.34480348229408264,0.23517686128616333,0.5481330752372742,0.9303229523544966
46.0,0.3231666684150696,0.21541133522987366,0.5387765765190125,0.3371649384498596,0.22860395908355713,0.5428049564361572,0.9302920872043375
47.0,0.31620416045188904,0.2094162404537201,0.5339395999908447,0.3300025761127472,0.22246374189853668,0.5376941561698914,0.9302673950842104
48.0,0.3125743567943573,0.20386549830436707,0.5435442328453064,0.32322168350219727,0.21667224168777466,0.5327471494674683,0.9301768573104108
49.0,0.3086307644844055,0.19865471124649048,0.5498802661895752,0.31687992811203003,0.21128416061401367,0.5279788970947266,0.9301994917538607
50.0,0.2992604374885559,0.19384019076824188,0.5271011590957642,0.31064388155937195,0.2060137689113617,0.5231505036354065,0.9301912610471517
51.0,0.2933354675769806,0.1891946643590927,0.5207039713859558,0.3047686815261841,0.2010844647884369,0.5184209942817688,0.9301830303404426
52.0,0.28931641578674316,0.18490172922611237,0.52207350730896,0.2992217242717743,0.1964683085680008,0.5137670636177063,0.9302036071072153
53.0,0.28655314445495605,0.18095004558563232,0.5280154347419739,0.2940751314163208,0.19222845137119293,0.5092333555221558,0.9301953764005062
