variant,seed,status,return_code,best_epoch,epochs_ran,training_seconds,holdout_mae,holdout_spearman,holdout_ndcg_at_k,holdout_top_k_mean_gain,log
base,42,reference,0,100,100,3001.0902347,7.876323699951172,0.8878566210891282,0.9789590889173909,129.05078125,
base,43,reference,0,100,100,2999.5648077000005,8.176229476928711,0.8845766844655699,0.9800052916701548,129.05076599121094,
base,44,reference,0,100,100,2999.5753896999995,7.824656009674072,0.894673703920903,0.9815773573548953,129.05078125,
base,45,reference,0,100,100,2999.475332,8.100729942321777,0.8856528493677789,0.9844099250539353,129.05078125,
base,46,reference,0,100,100,2999.6247795000018,8.055830955505371,0.8839408623722954,0.985383136145538,129.05078125,
propagation_deep,44,completed,0,23,83,3950.5624291729764,31.63335418701172,0.9512742162823955,0.9782250867331385,142.3323211669922,results/gnn_v2/nbfnet_propagation/screening/logs/propagation_deep__seed44.log
propagation_doubling,44,completed,0,35,95,4710.12674306205,30.53262710571289,0.9568690391678756,0.9881689061704638,142.33233642578125,results/gnn_v2/nbfnet_propagation/screening/logs/propagation_doubling__seed44.log
propagation_residual,44,completed,0,54,114,6977.413177380979,20.91879653930664,0.9589205428151074,0.9697867362168018,139.80201721191406,results/gnn_v2/nbfnet_propagation/screening/logs/propagation_residual__seed44.log
propagation_residual_doubling,44,completed,0,50,110,5585.280540271022,23.575241088867188,0.9594040968342644,0.984680526285803,142.33233642578125,results/gnn_v2/nbfnet_propagation/screening/logs/propagation_residual_doubling__seed44.log
