method,query_count,region_count,region_size,shortcut_count,endpoint_access_query_count,endpoint_access_rate_pct,cache_capacity_per_worker,cache_hits,cache_misses,cache_hit_rate_pct,uncached_avg_ms,cached_avg_ms,elapsed_change_pct,uncached_p95_ms,cached_p95_ms,p95_change_pct,uncached_avg_expanded,cached_avg_expanded,expanded_change_pct,uncached_avg_access_expanded,cached_avg_access_expanded,access_expanded_change_pct,cached_faster_query_rate_pct,median_delta_ms,correctness_rate
random_bfs,98082,100,512,40968,54712,55.781897,4096,34536,30766,52.886588,9.918097,9.792266,-1.268698,43.546225,43.480230,-0.151552,7271.858955,7161.759487,-1.514048,230.025968,119.926500,-47.863930,55.723782,-0.112700,1.000000
od_hotspot_bfs,98082,100,512,45824,77464,78.978814,4096,65747,39835,62.271031,9.906200,9.688158,-2.201062,44.471765,44.089590,-0.859365,6927.672101,6729.381222,-2.862302,339.931965,141.641086,-58.332519,61.104994,-0.200200,1.000000
