epoch,train_batch_loss,train_huber,validation_loss,validation_spearman
1,0.32602149673870634,0.11779239028692245,0.23467692732810974,0.7715690813502475
2,0.1847901748759406,0.07629822939634323,0.2005443125963211,0.7846723664310626
3,0.15632095081465586,0.054716285318136215,0.18218204379081726,0.7940533144027079
4,0.13626073620149068,0.05057408660650253,0.1680329293012619,0.8423037748078644
5,0.12756399171692984,0.03629903122782707,0.16570964455604553,0.8346656789818616
6,0.11915502005389758,0.0338594987988472,0.15629011392593384,0.8462627447349198
7,0.1110489054449967,0.027477199211716652,0.1591152548789978,0.8337212053869976
8,0.10836367016392094,0.024635950103402138,0.1583714485168457,0.8432935172896283
9,0.1055294791502612,0.024684226140379906,0.16038432717323303,0.8423984279350186
10,0.10393625657473292,0.024718577042222023,0.15593677759170532,0.8464170704857146
11,0.10621201246976852,0.020962320268154144,0.16174568235874176,0.8401596757101557
12,0.10409076352204595,0.02213681861758232,0.15486262738704681,0.8500200623476033
13,0.1020306045455592,0.021586952731013298,0.1560617983341217,0.8492957601572065
14,0.1021187821669238,0.02348770946264267,0.1585789918899536,0.8446845067234585
15,0.10033584173236575,0.017428020015358925,0.1471049040555954,0.8529481362593496
16,0.09351693679179464,0.015817781910300255,0.15232177078723907,0.8525715814274103
17,0.09554589486547879,0.01369517669081688,0.14828018844127655,0.8569359136598866
18,0.09278325151119914,0.013329224660992622,0.1471191942691803,0.8553535602950708
19,0.09401026581014905,0.013590313494205475,0.14543792605400085,0.8589894749837957
20,0.08998267246144158,0.014915701933205128,0.14022476971149445,0.8615677438604072
21,0.09070476996047157,0.01187387015670538,0.14466938376426697,0.8614195911396443
22,0.08767910567777497,0.01313928235322237,0.14656081795692444,0.8706709054806219
23,0.09536723792552948,0.020976195111870766,0.15654194355010986,0.8552650801979484
24,0.09747090297085899,0.014286517165601254,0.14565739035606384,0.8654896756072719
25,0.09061801699655396,0.014311496168375015,0.1540462076663971,0.8605759437019661
26,0.09520687109657697,0.019555246457457542,0.14190077781677246,0.8647180468532979
27,0.09571055535759244,0.019881920889019966,0.15087589621543884,0.8552342150477895
28,0.100968137383461,0.012773008085787296,0.14993764460086823,0.8525077934504152
29,0.08797592403633255,0.009992656297981739,0.1505981981754303,0.845764786979022
30,0.08936676170144763,0.01111406460404396,0.15409442782402039,0.8506373653507824
31,0.08776669576764107,0.009003672748804092,0.14540144801139832,0.8577548689774376
32,0.083882886916399,0.007821198552846909,0.14149367809295654,0.8607961151064333
33,0.08555538952350616,0.009061932563781738,0.1456204056739807,0.8609134026770373
34,0.08701405408126968,0.008077535778284073,0.14962032437324524,0.8499048324536765
35,0.08848213723727635,0.008508628234267235,0.15359261631965637,0.8610265748942869
36,0.08447543638093132,0.00824075099080801,0.14410969614982605,0.863384672366431
37,0.08357311465910502,0.008793430402874947,0.1449177861213684,0.8629978291511055
38,0.08558972179889679,0.0085375364869833,0.14213134348392487,0.866934164634711
39,0.08590679083551679,0.006872726138681173,0.14620175957679749,0.8630286943012644
40,0.08717702754906245,0.009153598919510841,0.14592184126377106,0.8723232198524646
41,0.085630828248603,0.008351730182766914,0.1391739845275879,0.8723849501527825
42,0.08562207275203296,0.008394681848585606,0.14362016320228577,0.8700206796506065
43,0.08615188619920186,0.010732181370258331,0.15211188793182373,0.8669773758449335
44,0.08161809348634311,0.006309131626039743,0.14309297502040863,0.8728191199316852
45,0.07978727162948676,0.00862391572445631,0.13922280073165894,0.8780476763686123
46,0.08374110077108655,0.009285341948270798,0.14166462421417236,0.8664012263752997
47,0.08110226956861359,0.006476206239312887,0.1441279500722885,0.8674691605707995
48,0.08439803708876882,0.0065463087521493435,0.13816741108894348,0.8718293774499213
49,0.08581886972699847,0.006685854867100716,0.14055098593235016,0.8792143790446207
50,0.086184773594141,0.006818661466240883,0.14013242721557617,0.8671913742193689
51,0.08322829593505178,0.007004076149314642,0.1408664584159851,0.8724734302499049
52,0.08143932239285537,0.00564185343682766,0.1365942806005478,0.8750434684198072
53,0.08245263674429484,0.006285808514803648,0.14228327572345734,0.8694692223010998
54,0.08511857901300703,0.006894747726619244,0.13986216485500336,0.871771762502958
55,0.07723688879715544,0.005867267958819866,0.14104899764060974,0.8653950224801177
56,0.08233390801719256,0.006891221273690462,0.1399681121110916,0.8710515756659156
57,0.0851680939751012,0.0067116739228367805,0.14558753371238708,0.8619689908124737
58,0.07914716750383377,0.006134445779025555,0.14404337108135223,0.8646007592826939
59,0.08714736891644341,0.009651442989706993,0.14383813738822937,0.8806259452452236
60,0.08380188154322761,0.008112384006381035,0.1382872462272644,0.8736216138358179
61,0.08109587564000062,0.006808810401707888,0.14024093747138977,0.869876642283198
62,0.08394708537629672,0.006587488576769829,0.1412220001220703,0.8742059940121608
63,0.08440298746739115,0.005600500386208296,0.1390325129032135,0.8760064611047667
64,0.0846624965114253,0.005914679262787104,0.14123375713825226,0.8731462905233701
65,0.08485489391854831,0.00805029645562172,0.1435975432395935,0.8677201971254257
66,0.08169821011168617,0.006194165907800198,0.13690398633480072,0.8802802555634434
67,0.08491110056638718,0.005578918848186731,0.13407331705093384,0.8807082523123142
68,0.08337498296584402,0.004983201622962952,0.13764959573745728,0.8804942539378787
69,0.08170414556350027,0.004825293552130461,0.13942894339561462,0.8766093603712048
70,0.07922010496258736,0.0063118222169578075,0.13889934122562408,0.8674094879471589
71,0.08403831773570605,0.005237296689301729,0.1390649825334549,0.8761114026153071
72,0.08127657377294131,0.006822194438427687,0.1352173238992691,0.8855520232105929
73,0.08442743441888265,0.007804583758115768,0.1386551856994629,0.8749611613527166
74,0.08117971489472049,0.007262549828737974,0.1406303197145462,0.8751442945769932
75,0.0833574113036905,0.008486843667924404,0.13846877217292786,0.8720474911777113
76,0.08159098242010389,0.009625419043004513,0.13967306911945343,0.8772451824644794
77,0.08606045267411641,0.0076760356314480305,0.14149075746536255,0.8756443100095682
78,0.08309817739895412,0.006881552282720804,0.14064064621925354,0.8746483944977725
79,0.07969727686473302,0.004764564335346222,0.1348136067390442,0.883430558556334
80,0.07873575176511492,0.005052121821790934,0.140793576836586,0.8758912312108399
81,0.08462699875235558,0.004560836125165224,0.1375698745250702,0.8711503441464242
82,0.08268004363136632,0.005443787667900324,0.13805124163627625,0.8752286593207609
83,0.08425606467894145,0.004478864837437868,0.13661371171474457,0.8777534286037635
84,0.08243531520877566,0.005160285159945488,0.13312077522277832,0.8818008786279412
85,0.08620621636509895,0.008109536953270435,0.14539924263954163,0.8738623620070578
86,0.0807203980428832,0.006833166349679232,0.13473720848560333,0.881284401781948
87,0.08459460416010448,0.006114059593528509,0.13459083437919617,0.8827453522228053
88,0.08651615306735039,0.007914334535598755,0.135218545794487,0.8861137689434859
89,0.08199417644313403,0.00720618199557066,0.13567981123924255,0.8843112441742029
90,0.08597104091729436,0.006611921824514866,0.13827121257781982,0.8786588063417595
91,0.08432810753583908,0.005973757244646549,0.1374225616455078,0.8807761556426639
92,0.08438514332686152,0.006271695252507925,0.14189733564853668,0.8757657129335268
