epoch,train_batch_loss,train_huber,validation_loss,validation_spearman
1,0.5079858260495322,0.1468045711517334,0.25377267599105835,0.7111462674308379
2,0.23494763033730642,0.0944918617606163,0.19341181218624115,0.791369348110336
3,0.16455587797931262,0.06575489789247513,0.18904250860214233,0.8116389642196379
4,0.13564249553850719,0.0378275103867054,0.15170632302761078,0.8446563517031606
5,0.11655143275856972,0.03165411949157715,0.1469559520483017,0.8560593406523259
6,0.10380045537437711,0.026235342025756836,0.1416943073272705,0.8612554778073663
7,0.09956184668200356,0.02115781046450138,0.13895642757415771,0.8689283977832368
8,0.09754149562546185,0.021613428369164467,0.1385868936777115,0.8770949720670391
9,0.09460027303014483,0.021126864477992058,0.13833032548427582,0.8774928744617945
10,0.08974249927060944,0.01576237939298153,0.13295406103134155,0.8787248824113311
11,0.09178093421672072,0.013420523144304752,0.1339411437511444,0.875801257329011
12,0.09526819363236427,0.015251942910254002,0.13642358779907227,0.8743075274834589
13,0.09094253874250821,0.01486879400908947,0.13179342448711395,0.886225448943484
14,0.08711540539349828,0.01433477085083723,0.13462932407855988,0.8846444784659266
15,0.09016867939914976,0.014398344792425632,0.12974348664283752,0.8899810517602925
16,0.08806496858596802,0.017150184139609337,0.1321454495191574,0.8856615765658895
17,0.08655886937464986,0.013706621713936329,0.13548333942890167,0.8819357632331803
18,0.08443994607244219,0.011981102637946606,0.12888580560684204,0.8883958256421496
19,0.08402945899537631,0.011190200224518776,0.1282252073287964,0.888646908436701
20,0.08067322788493973,0.008705233223736286,0.12875989079475403,0.8879617503024164
21,0.07743571472487279,0.008411221206188202,0.12671244144439697,0.8898618938238952
22,0.08296474707978112,0.0091892434284091,0.12891314923763275,0.8920450374443176
23,0.07867007782416684,0.006861859932541847,0.12590321898460388,0.8955942416927236
24,0.0774700114769595,0.006885896902531385,0.126258984208107,0.8924301729173161
25,0.07987062366945404,0.007552814669907093,0.12645083665847778,0.8925620977754702
26,0.08041644841432571,0.006104930769652128,0.12435376644134521,0.8998796717624417
27,0.07707352563738823,0.007755884435027838,0.129581481218338,0.8856807269485248
28,0.08166416308709554,0.007222654297947884,0.1259138286113739,0.8917067140177609
29,0.09018150397709437,0.008736305870115757,0.12427093833684921,0.8932046995038987
30,0.0845489746757916,0.0085678705945611,0.12770554423332214,0.8916769245336615
31,0.08083955730710711,0.007516214158385992,0.1286146193742752,0.8891405627446328
32,0.07798870546477181,0.006520756520330906,0.12488632649183273,0.8916258568466342
33,0.0785037422818797,0.007521308958530426,0.1250816285610199,0.8970539264135908
34,0.07855609804391861,0.0054552615620195866,0.12200325727462769,0.9011393413757848
35,0.080023642629385,0.006528874859213829,0.12551090121269226,0.8914811650667231
36,0.07880980947187968,0.0062071289867162704,0.12148252129554749,0.8981986937311223
37,0.0811022339122636,0.007173079531639814,0.12522876262664795,0.889563998982902
38,0.07872297614812851,0.00656198151409626,0.12396162748336792,0.8965028209577532
39,0.0802188938749688,0.005916954483836889,0.12405960261821747,0.8982391223166856
40,0.07605430483818054,0.006182599347084761,0.12484553456306458,0.8923556992070678
41,0.07441650064928192,0.005762144457548857,0.126614511013031,0.8896937960207633
42,0.07441283709236554,0.0056914715096354485,0.1216937005519867,0.9036905979068631
43,0.07617109801088061,0.004425593186169863,0.12359350174665451,0.8938536846932056
44,0.07301056092338902,0.004940889310091734,0.1256321668624878,0.8925152857290285
45,0.07580699718424252,0.0052431002259254456,0.12358918786048889,0.8969198737351438
46,0.07699187791773252,0.0064117079600691795,0.1253630369901657,0.8893299387506929
