epoch,train_loss,train_huber,train_rank,train_full_pairwise_loss,train_pairwise_accuracy,train_pre_step_prediction_mean,train_pre_step_prediction_std,train_pre_step_prediction_min,train_pre_step_prediction_max,validation_loss,validation_huber,validation_rank,validation_pairwise_accuracy,validation_spearman,validation_post_step_prediction_mean,validation_post_step_prediction_std,validation_post_step_prediction_min,validation_post_step_prediction_max,scaler_scale_before,scaler_scale_after,optimizer_state_step_before,optimizer_state_step_after,optimizer_step_skipped,optimizer_step_effective,gradient_norm_before_clip,gradient_norm_after_clip,parameter_delta_norm,learning_rate
0,0.5190417766571045,0.3811822235584259,nan,0.6892978549003601,0.898381233215332,-0.06239064037799835,0.00881180725991726,-0.06848744302988052,-0.024949293583631516,0.5424115061759949,0.40458494424819946,0.6891328692436218,0.9001862406730652,0.9457961386649701,-0.06208043918013573,0.009082513861358166,-0.0684109553694725,-0.026680389419198036,1.0,1.0,0,0,0,0,nan,nan,0.0,0.001
1,0.518956184387207,0.3811822235584259,0.688869833946228,0.6892978549003601,0.8983784317970276,-0.062390655279159546,0.00881180353462696,-0.06848744302988052,-0.024947572499513626,0.5424115061759949,0.40458494424819946,0.6891328692436218,0.9001862406730652,0.9458275461176785,-0.062080468982458115,0.009082559496164322,-0.06841091066598892,-0.026676686480641365,1.0,0.5,0,0,1,0,nan,nan,0.0,0.001
2,0.5190842747688293,0.3811822533607483,0.6895099878311157,0.6892978549003601,0.8983840942382812,-0.06239069625735283,0.00881179515272379,-0.06848740577697754,-0.024943863973021507,0.5424116849899292,0.404585063457489,0.6891329884529114,0.9001862406730652,0.9457961386649701,-0.06208059564232826,0.009082193486392498,-0.06841106712818146,-0.026680350303649902,0.5,0.25,0,0,1,0,nan,nan,0.0,0.001
3,0.5190551280975342,0.3811822235584259,0.6893645524978638,0.6892978549003601,0.8983926177024841,-0.062390703707933426,0.00881171878427267,-0.06848744302988052,-0.024947941303253174,0.5424114465713501,0.4045848846435547,0.6891328692436218,0.9001241326332092,0.9457637581406834,-0.062080491334199905,0.009082556702196598,-0.06841101497411728,-0.026680108159780502,0.25,0.125,0,0,1,0,nan,nan,0.0,0.001
4,0.5190653800964355,0.3811822831630707,0.689415454864502,0.6892979145050049,0.8983727693557739,-0.0623907670378685,0.008811579085886478,-0.06848742812871933,-0.024949654936790466,0.5424116253852844,0.4045850336551666,0.6891329288482666,0.9002482891082764,0.945862526621192,-0.06208052858710289,0.009082335978746414,-0.06841100752353668,-0.026679450646042824,0.125,0.0625,0,0,1,0,nan,nan,0.0,0.001
5,0.5190322995185852,0.3811822533607483,0.689250111579895,0.6892978549003601,0.8983755707740784,-0.062390685081481934,0.008811747655272484,-0.06848742812871933,-0.02495194599032402,0.5424115657806396,0.40458497405052185,0.6891329288482666,0.9001241326332092,0.9457637581406834,-0.062080394476652145,0.009082282893359661,-0.06841085106134415,-0.026682231575250626,0.0625,0.03125,0,0,1,0,nan,nan,0.0,0.001
6,0.519039511680603,0.3811822235584259,0.6892863512039185,0.6892978549003601,0.8983784317970276,-0.06239067390561104,0.008811715990304947,-0.06848740577697754,-0.02494828589260578,0.5424116253852844,0.4045850336551666,0.6891329884529114,0.9001862406730652,0.9458275461176785,-0.062080565840005875,0.00908229872584343,-0.06841090321540833,-0.026676025241613388,0.03125,0.015625,0,0,1,0,nan,nan,0.0,0.001
7,0.5190384984016418,0.3811822235584259,0.6892812848091125,0.6892978549003601,0.8983755707740784,-0.06239069253206253,0.008811651729047298,-0.06848744302988052,-0.024950895458459854,0.5381181240081787,0.400947630405426,0.6858524084091187,0.8951582908630371,0.9408191610852187,-0.058276791125535965,0.016634145751595497,-0.06987941265106201,0.006572030484676361,0.015625,0.015625,0,1,0,1,0.11230403184890747,0.11230403184890747,0.07306034862995148,0.001
8,0.5149283409118652,0.377661794424057,0.686332643032074,0.6861425042152405,0.8979073166847229,-0.058863405138254166,0.016093604266643524,-0.0700245350599289,0.007284918799996376,0.5340327024459839,0.3974802792072296,0.682762086391449,0.8934823274612427,0.9396689198226282,-0.05488036572933197,0.02373586595058441,-0.07152282446622849,0.03735007718205452,0.015625,0.015625,1,2,0,1,0.11174613237380981,0.11174613237380981,0.06811551004648209,0.001
9,0.5108497142791748,0.3742961883544922,0.6827677488327026,0.6831636428833008,0.8979243636131287,-0.05572386085987091,0.022964855656027794,-0.07175233960151672,0.03694518283009529,0.5300559997558594,0.3941023647785187,0.6797680258750916,0.8930478096008301,0.9391503852999579,-0.05151645094156265,0.030646705999970436,-0.073121577501297,0.06706355512142181,0.015625,0.015625,2,3,0,1,0.1152932196855545,0.1152932196855545,0.06524814665317535,0.001
