epoch,train_loss,train_huber,train_rank,train_full_pairwise_loss,train_pairwise_accuracy,train_pre_step_prediction_mean,train_pre_step_prediction_std,train_pre_step_prediction_min,train_pre_step_prediction_max,validation_loss,validation_huber,validation_rank,validation_pairwise_accuracy,validation_spearman,validation_post_step_prediction_mean,validation_post_step_prediction_std,validation_post_step_prediction_min,validation_post_step_prediction_max,scaler_scale_before,scaler_scale_after,optimizer_state_step_before,optimizer_state_step_after,optimizer_step_skipped,optimizer_step_effective,gradient_norm_before_clip,gradient_norm_after_clip,parameter_delta_norm,learning_rate,next_learning_rate,trainable_scope,trainable_parameter_count
0,0.483081191778183,0.10394251346588135,nan,0.483081191778183,0.8903301954269409,-1.248859238245359e-08,1.0,-0.5466911792755127,5.756088733673096,0.47672224044799805,0.10937734693288803,0.47672224044799805,0.8988826870918274,0.9410928320832948,0.04836907982826233,1.114495038986206,-0.5396414995193481,5.383940696716309,1.0,1.0,0,0,0,0,nan,nan,0.0,0.005,0.005,output_head,33
1,0.483081191778183,-0.0,0.483081191778183,0.483081191778183,0.8903301954269409,-1.248859238245359e-08,1.0,-0.5466911792755127,5.756088733673096,0.47664692997932434,0.10940985381603241,0.47664692997932434,0.8988205790519714,0.9410660822864904,0.04856588691473007,1.115191102027893,-0.5398547649383545,5.3873138427734375,1.0,1.0,0,1,0,1,0.004671174101531506,0.004671174101531506,0.024377021938562393,0.005,0.005,output_head,33
2,0.4829980134963989,0.0,0.4829980134963989,0.4829980134963989,0.8903131484985352,0.000175197928911075,1.0006197690963745,-0.5469107031822205,5.759507656097412,0.4765717089176178,0.10944129526615143,0.4765717089176178,0.8987585306167603,0.9410475631963949,0.048876095563173294,1.1158870458602905,-0.5399546027183533,5.390800476074219,1.0,1.0,1,2,0,1,0.004668353591114283,0.004668353591114283,0.024373246356844902,0.005,0.005,output_head,33
3,0.4829147756099701,0.0,0.4829147756099701,0.4829147756099701,0.8902961611747742,0.0004638411046471447,1.0012396574020386,-0.5470168590545654,5.763040065765381,0.47649654746055603,0.10947347432374954,0.47649654746055603,0.8987585306167603,0.9410475631963949,0.04914456978440285,1.1165831089019775,-0.5400962233543396,5.394245147705078,1.0,1.0,2,3,0,1,0.0046655358746647835,0.0046655358746647835,0.024373577907681465,0.005,0.005,output_head,33
4,0.4828316271305084,0.0,0.4828316271305084,0.4828316271305084,0.890293300151825,0.0007107212441042066,1.001859426498413,-0.5471646785736084,5.766530513763428,0.47642138600349426,0.10950707644224167,0.47642138600349426,0.8987585306167603,0.9410475631963949,0.0493069663643837,1.1172789335250854,-0.5403438806533813,5.397583484649658,1.0,1.0,3,4,0,1,0.004662720020860434,0.004662720020860434,0.024375705048441887,0.005,0.005,output_head,33
5,0.48274853825569153,0.0,0.48274853825569153,0.48274853825569153,0.8902961611747742,0.0008515369845554233,1.0024791955947876,-0.5474185943603516,5.769914627075195,0.47634634375572205,0.10953792184591293,0.47634634375572205,0.8987585306167603,0.9410475631963949,0.04974237084388733,1.1179749965667725,-0.540318489074707,5.401195049285889,1.0,1.0,4,5,0,1,0.0046599069610238075,0.0046599069610238075,0.024367010220885277,0.005,0.005,output_head,33
6,0.4826655387878418,0.0,0.4826655387878418,0.4826655387878418,0.8902904987335205,0.0012653465382754803,1.003098964691162,-0.5473995208740234,5.773571968078613,0.47627130150794983,0.10956910997629166,0.47627130150794983,0.8986964821815491,0.9410372748130086,0.05017659068107605,1.1186708211898804,-0.5402942895889282,5.4048051834106445,1.0,1.0,5,6,0,1,0.004657096695154905,0.004657096695154905,0.024365389719605446,0.005,0.005,output_head,33
7,0.4825825095176697,0.0,0.4825825095176697,0.4825825095176697,0.8902961611747742,0.0016779707511886954,1.0037187337875366,-0.547381579875946,5.777227878570557,0.4761962592601776,0.10960006713867188,0.4761962592601776,0.8986964821815491,0.9410372748130086,0.05066738277673721,1.1193666458129883,-0.5402134656906128,5.408471584320068,1.0,1.0,6,7,0,1,0.004654288291931152,0.004654288291931152,0.02436233125627041,0.005,0.005,output_head,33
8,0.4824995994567871,0.0,0.4824995994567871,0.4824995994567871,0.8903131484985352,0.002147190971300006,1.0043385028839111,-0.547307014465332,5.780940055847168,0.47612130641937256,0.10963111370801926,0.47612130641937256,0.8986964821815491,0.9410372748130086,0.051185015588998795,1.1200624704360962,-0.5401057600975037,5.412164211273193,1.0,1.0,7,8,0,1,0.0046514831483364105,0.0046514831483364105,0.024359654635190964,0.005,0.005,output_head,33
9,0.48241668939590454,0.0,0.48241668939590454,0.48241668939590454,0.8903103470802307,0.002643246902152896,1.004958152770996,-0.5472056269645691,5.7846784591674805,0.47444212436676025,0.11034461110830307,0.47444212436676025,0.8986343741416931,0.9410228710762678,0.06075868755578995,1.1352825164794922,-0.5396153330802917,5.489781856536865,1.0,1.0,8,9,0,1,0.007657675072550774,0.007657675072550774,0.6916500926017761,0.005,0.005,all,418183
10,0.4805864989757538,0.0,0.4805864989757538,0.4805864989757538,0.8904096484184265,0.01168452762067318,1.0185620784759521,-0.546870231628418,5.863628387451172,0.4718344509601593,0.11180136352777481,0.4718344509601593,0.898510217666626,0.9407697768449643,0.07538504153490067,1.15927255153656,-0.5393043160438538,5.612564563751221,1.0,1.0,9,10,0,1,0.016697851940989494,0.016697851940989494,0.6424818634986877,0.005,0.005,all,418183
