epoch,train_loss,train_huber,train_rank,validation_loss,validation_huber,validation_rank,validation_spearman
1.0,0.5423388481140137,0.4034768342971802,0.694310188293457,0.5914915800094604,0.4539845883846283,0.6875350475311279,0.41101268557671533
2.0,0.5305505394935608,0.39308032393455505,0.6873511672019958,0.5792275667190552,0.44317924976348877,0.6802416443824768,0.6409169007273887
3.0,0.5190072655677795,0.3828333616256714,0.6808694005012512,0.5672038793563843,0.43257930874824524,0.6731228828430176,0.6986429622313446
4.0,0.5075480937957764,0.37274572253227234,0.6740118861198425,0.5552780628204346,0.42207321524620056,0.6660242080688477,0.7137627704558782
5.0,0.49607324600219727,0.362747460603714,0.6666289567947388,0.5434876084327698,0.41170215606689453,0.6589271426200867,0.7224297046205129
6.0,0.48492974042892456,0.35278698801994324,0.6607137322425842,0.5317766666412354,0.4014262855052948,0.6517519950866699,0.723779540520798
7.0,0.47332295775413513,0.3427811563014984,0.6527090072631836,0.5201205015182495,0.39123058319091797,0.6444494128227234,0.7262713869769644
8.0,0.4621933102607727,0.3327895402908325,0.6470189094543457,0.5084761381149292,0.3810878098011017,0.63694167137146,0.7274689548031318
9.0,0.4498821794986725,0.32279205322265625,0.6354506015777588,0.4968484938144684,0.3710158169269562,0.629163384437561,0.7284545819315411
10.0,0.43903934955596924,0.3129066824913025,0.630663275718689,0.48539313673973083,0.3611588776111603,0.6211712956428528,0.7310143317180572
11.0,0.4281160235404968,0.30318760871887207,0.6246420741081238,0.47415676712989807,0.3515680730342865,0.6129434704780579,0.7305904503225408
12.0,0.4160631597042084,0.2937261462211609,0.611685037612915,0.46317434310913086,0.34228792786598206,0.6044320464134216,0.7307488914266901
13.0,0.40509462356567383,0.28463324904441833,0.6023067831993103,0.452623188495636,0.33348459005355835,0.5956929326057434,0.7315472699774684
14.0,0.39623063802719116,0.27607810497283936,0.6007626056671143,0.44267234206199646,0.3253158628940582,0.5867823958396912,0.732604915789582
15.0,0.3872341513633728,0.2682330906391144,0.5950053334236145,0.4335857331752777,0.31801339983940125,0.5778616666793823,0.7347963414508678
16.0,0.37580689787864685,0.26128795742988586,0.5725947022438049,0.42537710070610046,0.3115796148777008,0.5689873695373535,0.7363231375453975
17.0,0.3693486452102661,0.2552831768989563,0.5703274011611938,0.41804301738739014,0.30597805976867676,0.5603247880935669,0.7373313991172568
18.0,0.3588375151157379,0.2501961588859558,0.5432068109512329,0.4113438129425049,0.30095532536506653,0.5519424080848694,0.7408356224986368
19.0,0.3588372766971588,0.24584436416625977,0.5649645328521729,0.40481817722320557,0.29603081941604614,0.5439367294311523,0.742234842639176
20.0,0.35134896636009216,0.24178601801395416,0.5478147864341736,0.39783358573913574,0.2905524969100952,0.5364055037498474,0.7450641480704137
21.0,0.3437400460243225,0.23740670084953308,0.53166663646698,0.3899930417537689,0.28412413597106934,0.5293444991111755,0.7484449108511579
22.0,0.33584731817245483,0.23227815330028534,0.517845869064331,0.38074707984924316,0.2762179374694824,0.5226457118988037,0.7543422122081958
23.0,0.3313063085079193,0.2259577214717865,0.5267428755760193,0.36984047293663025,0.2665803134441376,0.5163007974624634,0.7605646264802411
24.0,0.3197120428085327,0.21813039481639862,0.5079081654548645,0.3572075068950653,0.2551822364330292,0.5101262927055359,0.7654907044456105
25.0,0.3091290593147278,0.20881091058254242,0.5015907883644104,0.3428449332714081,0.24204444885253906,0.5040024518966675,0.7689126207599
26.0,0.2986516058444977,0.19810840487480164,0.5027159452438354,0.3266851305961609,0.2271481454372406,0.49768489599227905,0.7724991512083706
27.0,0.2875073552131653,0.18610328435897827,0.5070202946662903,0.30867719650268555,0.21047544479370117,0.49100878834724426,0.7774149407903536
28.0,0.2698535919189453,0.1728902906179428,0.48481646180152893,0.28855034708976746,0.19180051982402802,0.4837491810321808,0.7834439334547363
29.0,0.25591859221458435,0.15839281678199768,0.48762884736061096,0.26602381467819214,0.1708812713623047,0.47571277618408203,0.788522279494223
30.0,0.23569326102733612,0.14252226054668427,0.4658550024032593,0.24091124534606934,0.14757728576660156,0.4666697680950165,0.7958414354352501
31.0,0.21880881488323212,0.12517398595809937,0.46817412972450256,0.2137300670146942,0.1224101185798645,0.45659971237182617,0.800561745732893
32.0,0.2009553611278534,0.10705764591693878,0.4694885313510895,0.18773961067199707,0.09863830357789993,0.44550657272338867,0.8077924215767976
33.0,0.17803612351417542,0.08992825448513031,0.4405393600463867,0.16839826107025146,0.08170771598815918,0.4334527552127838,0.812922209533216
