epoch,train_loss,train_huber,train_rank,train_full_pairwise_loss,train_pairwise_accuracy,train_pre_step_prediction_mean,train_pre_step_prediction_std,train_pre_step_prediction_min,train_pre_step_prediction_max,validation_loss,validation_huber,validation_rank,validation_pairwise_accuracy,validation_spearman,validation_post_step_prediction_mean,validation_post_step_prediction_std,validation_post_step_prediction_min,validation_post_step_prediction_max,scaler_scale_before,scaler_scale_after,optimizer_state_step_before,optimizer_state_step_after,optimizer_step_skipped,optimizer_step_effective,gradient_norm_before_clip,gradient_norm_after_clip,parameter_delta_norm,learning_rate
10,0.5191057324409485,0.38119369745254517,0.689560055732727,0.689292311668396,0.8983188271522522,-0.06220504269003868,0.008834860287606716,-0.06830376386642456,-0.02453964576125145,0.5424195528030396,0.40459388494491577,0.6891281604766846,0.9003103375434875,0.9461480015577872,-0.06189596652984619,0.009098933078348637,-0.06822611391544342,-0.026399284601211548,1.0,1.0,9,10,0,1,inf,0.0,8.701732440385967e-06,0.001
11,0.5190064907073975,0.3811948001384735,0.6890585422515869,0.6892932653427124,0.8983585834503174,-0.062205202877521515,0.008830462582409382,-0.06830376386642456,-0.02459600754082203,0.5424203276634216,0.4045945703983307,0.6891288757324219,0.9003103375434875,0.946002448635246,-0.06189766526222229,0.009099644608795643,-0.06822611391544342,-0.02636745758354664,1.0,1.0,10,11,0,1,inf,0.0,8.701732440385967e-06,0.001
12,0.519035816192627,0.381194144487381,0.6892083287239075,0.6892926692962646,0.8983244895935059,-0.06220468506217003,0.008832239545881748,-0.06830376386642456,-0.02464032918214798,0.542420506477356,0.40459468960762024,0.6891289353370667,0.8999999761581421,0.9458748726812556,-0.06189646199345589,0.009098811075091362,-0.06822583824396133,-0.02633758820593357,1.0,1.0,11,12,0,1,inf,0.0,8.701732440385967e-06,0.001
13,0.5191054344177246,0.3811948001384735,0.6895530223846436,0.6892933249473572,0.898418128490448,-0.06220667436718941,0.008831064216792583,-0.06830362975597382,-0.024571532383561134,0.542421817779541,0.4045957922935486,0.6891300678253174,0.900062084197998,0.9458686996512238,-0.06189870834350586,0.009096220135688782,-0.06822564452886581,-0.0263807475566864,1.0,1.0,12,13,0,1,inf,0.0,8.701732440385967e-06,0.001
14,0.5190598964691162,0.3811945617198944,0.6893267035484314,0.6892931461334229,0.898438036441803,-0.06220582500100136,0.008831334300339222,-0.06830348819494247,-0.024595467373728752,0.542421281337738,0.4045953154563904,0.6891297698020935,0.9003103375434875,0.9459226858457201,-0.06189912185072899,0.009098143316805363,-0.06822441518306732,-0.026385590434074402,1.0,1.0,13,14,0,1,inf,0.0,8.701732440385967e-06,0.001
15,0.5190680027008057,0.3811946213245392,0.6893669366836548,0.6892931461334229,0.8984153270721436,-0.06220550835132599,0.008831865154206753,-0.06830376386642456,-0.024569997563958168,0.5424202680587769,0.4045945107936859,0.6891288161277771,0.900062084197998,0.945784334907456,-0.06189730018377304,0.009099568240344524,-0.06822903454303741,-0.026465672999620438,1.0,1.0,14,15,0,1,inf,0.0,8.701732440385967e-06,0.001
16,0.5190202593803406,0.3811950087547302,0.6891263127326965,0.6892936825752258,0.8983926177024841,-0.06220691651105881,0.008831940591335297,-0.0683039054274559,-0.024601858109235764,0.5424199104309082,0.40459421277046204,0.6891284584999084,0.8998758792877197,0.9458028539975514,-0.06189707666635513,0.009100522845983505,-0.0682283490896225,-0.02643217332661152,1.0,1.0,15,16,0,1,inf,0.0,8.701732440385967e-06,0.001
17,0.5190505385398865,0.381194144487381,0.6892818808555603,0.6892929077148438,0.898401141166687,-0.062205635011196136,0.008833714760839939,-0.06830362975597382,-0.024587804451584816,0.5424187779426575,0.40459325909614563,0.6891276240348816,0.900062084197998,0.9458357768243876,-0.061896443367004395,0.009103832766413689,-0.06822869181632996,-0.02635141648352146,1.0,1.0,16,17,0,1,inf,0.0,8.701732440385967e-06,0.001
18,0.5190548300743103,0.3811938464641571,0.6893048882484436,0.6892927885055542,0.8983330130577087,-0.06220588833093643,0.008833319880068302,-0.06830418109893799,-0.024578766897320747,0.5424185991287231,0.4045931100845337,0.6891274452209473,0.9001862406730652,0.9459221992448327,-0.06189507618546486,0.009103131480515003,-0.06822950392961502,-0.026333089917898178,1.0,1.0,17,18,0,1,inf,0.0,8.701732440385967e-06,0.001
19,0.5190348625183105,0.3811933398246765,0.6892075538635254,0.689292311668396,0.8983500599861145,-0.06220511719584465,0.008835632354021072,-0.06830362975597382,-0.024580957368016243,0.5424185395240784,0.40459302067756653,0.689127504825592,0.9001241326332092,0.9458748726812556,-0.06189526617527008,0.009102866053581238,-0.06822758913040161,-0.026389244943857193,1.0,1.0,18,19,0,1,inf,0.0,8.701732440385967e-06,0.001
20,0.5190207362174988,0.381192684173584,0.6891401410102844,0.6892916560173035,0.8983415365219116,-0.062203891575336456,0.008836552500724792,-0.06830418109893799,-0.024557551369071007,0.5424205660820007,0.4045948088169098,0.6891288161277771,0.9002482891082764,0.945971583485087,-0.06189700961112976,0.009100167080760002,-0.06822550296783447,-0.026381149888038635,1.0,1.0,19,20,0,1,inf,0.0,8.701732440385967e-06,0.001
21,0.5190434455871582,0.38119304180145264,0.6892520189285278,0.6892919540405273,0.8983699083328247,-0.06220433488488197,0.00883579347282648,-0.06830334663391113,-0.024559231474995613,0.5424189567565918,0.4045933783054352,0.6891278624534607,0.9001862406730652,0.9458954494480283,-0.0618954673409462,0.009103698655962944,-0.0682242214679718,-0.026365133002400398,1.0,1.0,20,21,0,1,inf,0.0,8.701732440385967e-06,0.001
22,0.5190318822860718,0.38119348883628845,0.6891921162605286,0.6892922520637512,0.898242175579071,-0.0622042715549469,0.008835130371153355,-0.0683039054274559,-0.024616505950689316,0.542417049407959,0.40459179878234863,0.6891261339187622,0.900062084197998,0.9458218596366673,-0.06189240515232086,0.009107708930969238,-0.06822589039802551,-0.026401201263070107,1.0,1.0,21,22,0,1,inf,0.0,8.701732440385967e-06,0.001
23,0.5190253853797913,0.38119348883628845,0.6891594529151917,0.6892921328544617,0.8981797695159912,-0.062203504145145416,0.008835895918309689,-0.06830404698848724,-0.024623598903417587,0.5424172878265381,0.40459197759628296,0.6891263723373413,0.9003103375434875,0.945932487628219,-0.06189333647489548,0.009106124751269817,-0.0682254210114479,-0.02640579640865326,1.0,1.0,22,23,0,1,inf,0.0,8.701722435944248e-06,0.001
24,0.5190510153770447,0.381192684173584,0.6892917156219482,0.6892914175987244,0.8981797695159912,-0.062203288078308105,0.008837749250233173,-0.06830376386642456,-0.024599142372608185,0.5424154996871948,0.40459051728248596,0.6891250610351562,0.9001241326332092,0.9457740465240697,-0.06189194321632385,0.009108946658670902,-0.06822503358125687,-0.02637949213385582,1.0,1.0,23,24,0,1,inf,0.0,8.701722435944248e-06,0.001
25,0.5189999938011169,0.38119152188301086,0.6890423893928528,0.6892902255058289,0.8981797695159912,-0.06220155581831932,0.008841689676046371,-0.06830362975597382,-0.024579202756285667,0.5424147844314575,0.40458986163139343,0.6891244649887085,0.9003724455833435,0.9458296037943558,-0.06189068779349327,0.00911010429263115,-0.06822577118873596,-0.026387937366962433,1.0,1.0,24,25,0,1,inf,0.0,8.701722435944248e-06,0.001
26,0.5190271139144897,0.3811914622783661,0.6891783475875854,0.6892902851104736,0.8981854319572449,-0.062201570719480515,0.008840694092214108,-0.06830348819494247,-0.024533910676836967,0.542414665222168,0.4045897126197815,0.689124584197998,0.9001241326332092,0.945805398214781,-0.061890859156847,0.00911034643650055,-0.0682254210114479,-0.026408683508634567,1.0,1.0,25,26,0,1,inf,0.0,8.701722435944248e-06,0.001
27,0.5190293192863464,0.38119202852249146,0.6891865134239197,0.6892908215522766,0.8982961177825928,-0.0622023344039917,0.008839502930641174,-0.06830376386642456,-0.0245688334107399,0.5424151420593262,0.4045901894569397,0.6891248822212219,0.9002482891082764,0.946002448635246,-0.06189187616109848,0.00910950731486082,-0.06822461634874344,-0.02643035538494587,1.0,1.0,26,27,0,1,inf,0.0,8.701722435944248e-06,0.001
28,0.5189860463142395,0.38119232654571533,0.6889685392379761,0.6892910599708557,0.8982308506965637,-0.06220244616270065,0.008838110603392124,-0.06830348819494247,-0.02457035332918167,0.5424163341522217,0.4045912027359009,0.6891254782676697,0.9001862406730652,0.9458049116742286,-0.061892278492450714,0.009107035584747791,-0.06822704523801804,-0.026426998898386955,1.0,1.0,27,28,0,1,inf,0.0,8.70171334099723e-06,0.001
29,0.5190677642822266,0.38119280338287354,0.6893746256828308,0.6892914175987244,0.8983699083328247,-0.06220312789082527,0.008836856111884117,-0.06830334663391113,-0.02456478774547577,0.5424162745475769,0.4045911729335785,0.6891255378723145,0.9003724455833435,0.9461222805860902,-0.06189190223813057,0.00910676084458828,-0.0682266503572464,-0.026453375816345215,1.0,1.0,28,29,0,1,inf,0.0,8.70171334099723e-06,0.001
30,0.5190848708152771,0.3811921775341034,0.6894633769989014,0.6892907619476318,0.8982648849487305,-0.06220240890979767,0.008838735520839691,-0.06830362975597382,-0.024617761373519897,0.5424150228500366,0.40459010004997253,0.6891247034072876,0.900062084197998,0.9456876241036246,-0.06189253181219101,0.00910988636314869,-0.06822461634874344,-0.026426270604133606,1.0,1.0,29,30,0,1,inf,0.0,8.70170333655551e-06,0.001
31,0.5190358757972717,0.38119298219680786,0.6892144680023193,0.6892914175987244,0.8983471989631653,-0.06220289692282677,0.008836443535983562,-0.06830376386642456,-0.02467171475291252,0.5424137711524963,0.40458905696868896,0.6891235113143921,0.9003103375434875,0.9458337191477103,-0.0618903823196888,0.009113919921219349,-0.06822598725557327,-0.02633628435432911,1.0,1.0,30,31,0,1,inf,0.0,8.701700608071405e-06,0.001
32,0.51905357837677,0.38119181990623474,0.6893089413642883,0.6892905235290527,0.8983613848686218,-0.062202565371990204,0.008839820511639118,-0.06830362975597382,-0.024602439254522324,0.5424158573150635,0.40459081530570984,0.6891252994537354,0.9003103375434875,0.9457946232908423,-0.06189281865954399,0.009108341298997402,-0.06822773069143295,-0.02634778618812561,1.0,1.0,31,32,0,1,inf,0.0,8.701700608071405e-06,0.001
33,0.5190485715866089,0.3811916708946228,0.6892843842506409,0.6892903447151184,0.8982762694358826,-0.06220182031393051,0.008840632624924183,-0.06830376386642456,-0.024560652673244476,0.5424157977104187,0.40459078550338745,0.6891250610351562,0.9001862406730652,0.9458769303579329,-0.061892103403806686,0.00910891778767109,-0.06822726130485535,-0.026363477110862732,1.0,1.0,32,33,0,1,inf,0.0,8.701700608071405e-06,0.001
34,0.5190389156341553,0.3811917304992676,0.6892358064651489,0.689290463924408,0.8982706069946289,-0.06220235675573349,0.008839973248541355,-0.0683039054274559,-0.02457086369395256,0.5424151420593262,0.4045902490615845,0.6891245245933533,0.9003103375434875,0.945870757327901,-0.0618913471698761,0.009110956452786922,-0.06822517514228821,-0.026327840983867645,1.0,1.0,33,34,0,1,inf,0.0,8.701700608071405e-06,0.001
35,0.5190707445144653,0.3811919689178467,0.689393937587738,0.6892905831336975,0.8982875943183899,-0.06220235675573349,0.008838962763547897,-0.06830348819494247,-0.024593863636255264,0.5424160957336426,0.40459105372428894,0.6891252398490906,0.900062084197998,0.9458100001136729,-0.06189192458987236,0.009106988087296486,-0.06822645664215088,-0.026329321786761284,1.0,1.0,34,35,0,1,inf,0.0,8.701700608071405e-06,0.001
36,0.5190088748931885,0.3811914026737213,0.6890872120857239,0.6892903447151184,0.8984068036079407,-0.0622025728225708,0.008839496411383152,-0.06830376386642456,-0.024584989994764328,0.5424144268035889,0.40458956360816956,0.6891242265701294,0.9001241326332092,0.9458069693509059,-0.061891112476587296,0.009110442362725735,-0.06822286546230316,-0.02642001584172249,1.0,1.0,35,36,0,1,inf,0.0,8.701700608071405e-06,0.001
37,0.5191068649291992,0.38119104504585266,0.6895791292190552,0.689289927482605,0.8983500599861145,-0.062201377004384995,0.0088400449603796,-0.06830404698848724,-0.02459520660340786,0.542413055896759,0.40458840131759644,0.6891233325004578,0.8998758792877197,0.9455929709764704,-0.06188972294330597,0.009111574850976467,-0.0682225227355957,-0.02643316425383091,1.0,1.0,36,37,0,1,inf,0.0,8.701700608071405e-06,0.001
38,0.519045352935791,0.38119032979011536,0.6892750263214111,0.6892892122268677,0.8983415365219116,-0.06220053881406784,0.00884213112294674,-0.0683039054274559,-0.02451843023300171,0.5424145460128784,0.4045896828174591,0.6891244649887085,0.8998137712478638,0.9455847402697614,-0.061890650540590286,0.009108948521316051,-0.06822387874126434,-0.026412807404994965,1.0,1.0,37,38,0,1,inf,0.0,8.701700608071405e-06,0.001
39,0.5190644264221191,0.3811909556388855,0.689367413520813,0.6892898082733154,0.8983471989631653,-0.06220104545354843,0.008840062655508518,-0.06830376386642456,-0.024535488337278366,0.5424140691757202,0.4045892655849457,0.6891239881515503,0.9003103375434875,0.9457575851106516,-0.0618903748691082,0.009111123159527779,-0.06822335720062256,-0.026398641988635063,1.0,1.0,38,39,0,1,inf,0.0,8.701700608071405e-06,0.001
40,0.5190237760543823,0.3811901807785034,0.6891680955886841,0.6892891526222229,0.8983840942382812,-0.062200579792261124,0.008842176757752895,-0.06830362975597382,-0.024517247453331947,0.5424132347106934,0.40458858013153076,0.6891230940818787,0.8999379277229309,0.9457678734940379,-0.061889246106147766,0.009113005362451077,-0.06822340935468674,-0.026324516162276268,1.0,1.0,39,40,0,1,inf,0.0,8.701700608071405e-06,0.001
41,0.5191024541854858,0.3811904788017273,0.6895596981048584,0.6892896294593811,0.8983926177024841,-0.062201425433158875,0.008842476643621922,-0.0683039054274559,-0.024529483169317245,0.5424133539199829,0.4045886695384979,0.689123272895813,0.8999379277229309,0.9456835087502701,-0.06189015507698059,0.009112264961004257,-0.06822255253791809,-0.026363985612988472,1.0,1.0,40,41,0,1,inf,0.0,8.701700608071405e-06,0.001
42,0.5190710425376892,0.3811913728713989,0.6893984079360962,0.6892902255058289,0.898401141166687,-0.06220201030373573,0.00884084589779377,-0.0683039054274559,-0.02461344748735428,0.5424128770828247,0.4045882523059845,0.6891230344772339,0.8999999761581421,0.9458280326698746,-0.061889227479696274,0.009112725965678692,-0.0682237520813942,-0.026377182453870773,1.0,1.0,41,42,0,1,inf,0.0,8.701700608071405e-06,0.001
43,0.5190398693084717,0.3811916708946228,0.6892408728599548,0.6892905235290527,0.8984124660491943,-0.062202293425798416,0.008838954381644726,-0.06830404698848724,-0.024637749418616295,0.5424137711524963,0.4045889973640442,0.6891238689422607,0.8998137712478638,0.9455909132997932,-0.061890244483947754,0.009110006503760815,-0.0682237520813942,-0.026394549757242203,1.0,1.0,42,43,0,1,inf,0.0,8.701700608071405e-06,0.001
44,0.5190474987030029,0.381190687417984,0.6892842054367065,0.6892896294593811,0.8983585834503174,-0.062201742082834244,0.008842799812555313,-0.06830362975597382,-0.024579301476478577,0.5424128174781799,0.4045882523059845,0.68912273645401,0.900062084197998,0.9458028539975514,-0.061888549476861954,0.009112806059420109,-0.06822293996810913,-0.026377547532320023,1.0,1.0,43,44,0,1,inf,0.0,8.701700608071405e-06,0.001
45,0.519019365310669,0.381191223859787,0.6891406178474426,0.6892899870872498,0.8983075022697449,-0.06220179796218872,0.00884095299988985,-0.06830376386642456,-0.024559730663895607,0.5424144864082336,0.4045896530151367,0.6891241073608398,0.8999999761581421,0.9457678734940379,-0.061890263110399246,0.009109573438763618,-0.0682237520813942,-0.026353059336543083,1.0,1.0,44,45,0,1,inf,0.0,8.701700608071405e-06,0.001
46,0.5190549492835999,0.3811914026737213,0.6893176436424255,0.6892904043197632,0.8983585834503174,-0.062202565371990204,0.00883996207267046,-0.06830348819494247,-0.024603722617030144,0.5424144268035889,0.40458959341049194,0.6891241073608398,0.900062084197998,0.9456649896601746,-0.06189035624265671,0.009108741767704487,-0.0682237520813942,-0.02638152614235878,1.0,1.0,45,46,0,1,inf,0.0,8.701700608071405e-06,0.001
47,0.5190681219100952,0.38119152188301086,0.6893831491470337,0.6892903447151184,0.8983670473098755,-0.06220206618309021,0.008840247988700867,-0.0683039054274559,-0.024573056027293205,0.5424148440361023,0.404589980840683,0.689124345779419,0.8999999761581421,0.9457226046071381,-0.061890702694654465,0.009107292629778385,-0.0682237520813942,-0.026418017223477364,1.0,1.0,46,47,0,1,inf,0.0,8.701700608071405e-06,0.001
48,0.5190911293029785,0.3811914622783661,0.6894983649253845,0.6892902255058289,0.8983471989631653,-0.06220173463225365,0.008840072900056839,-0.06830376386642456,-0.024610886350274086,0.5424159169197083,0.404590904712677,0.6891250014305115,0.9002482891082764,0.9459134262959091,-0.06189073622226715,0.009107443504035473,-0.0682237520813942,-0.02635982818901539,1.0,1.0,47,48,0,1,inf,0.0,8.701700608071405e-06,0.001
49,0.5190296173095703,0.38119247555732727,0.6891856789588928,0.6892911195755005,0.8982875943183899,-0.06220247969031334,0.00883729849010706,-0.06830348819494247,-0.024570932611823082,0.54241544008255,0.40459051728248596,0.6891247034072876,0.8999999761581421,0.9457308353138472,-0.061890486627817154,0.009108662605285645,-0.0682237520813942,-0.02635858952999115,1.0,1.0,48,49,0,1,inf,0.0,8.701700608071405e-06,0.001
50,0.5190949440002441,0.3811928927898407,0.6895104050636292,0.6892914772033691,0.8983017802238464,-0.06220286339521408,0.008836249820888042,-0.06830418109893799,-0.024580668658018112,0.5424171090126038,0.4045919179916382,0.6891258955001831,0.9002482891082764,0.9459201415681554,-0.061890438199043274,0.009105892851948738,-0.06822112202644348,-0.026387909427285194,1.0,1.0,49,50,0,1,inf,0.0,8.701700608071405e-06,0.001
51,0.5190473198890686,0.3811924159526825,0.6892745494842529,0.6892910599708557,0.8983727693557739,-0.062202420085668564,0.008838433772325516,-0.0683039054274559,-0.02460222877562046,0.5424159169197083,0.404590904712677,0.689125120639801,0.9001241326332092,0.9458440075310967,-0.06188983470201492,0.009107405319809914,-0.06822220981121063,-0.026329541578888893,1.0,1.0,50,51,0,1,inf,0.0,8.701700608071405e-06,0.001
52,0.5190130472183228,0.3811931312084198,0.6890994310379028,0.6892914175987244,0.8983046412467957,-0.06220242381095886,0.00883743166923523,-0.06830348819494247,-0.024562476202845573,0.5424165725708008,0.40459147095680237,0.6891254186630249,0.8999999761581421,0.9457349506672017,-0.06189010664820671,0.009106455370783806,-0.068221315741539,-0.026322435587644577,1.0,1.0,51,52,0,1,inf,0.0,8.701690603629686e-06,0.001
53,0.5190459489822388,0.3811921179294586,0.6892691850662231,0.6892905235290527,0.898335874080658,-0.062201179563999176,0.008838788606226444,-0.0683039054274559,-0.024537211284041405,0.5424147248268127,0.40458980202674866,0.689124584197998,0.8996896147727966,0.9455024332026709,-0.06189052760601044,0.009114350192248821,-0.06822536885738373,-0.026378655806183815,1.0,1.0,52,53,0,1,inf,0.0,8.701690603629686e-06,0.001
54,0.5190457701683044,0.3811911940574646,0.6892728209495544,0.6892901062965393,0.8984096646308899,-0.06220155581831932,0.00884111225605011,-0.06830362975597382,-0.024487216025590897,0.5424148440361023,0.4045899510383606,0.6891244649887085,0.8995654582977295,0.9454283568422893,-0.06188969314098358,0.009112430736422539,-0.06822579354047775,-0.026426607742905617,1.0,1.0,53,54,0,1,inf,0.0,8.701690603629686e-06,0.001
55,0.5190756916999817,0.38119134306907654,0.6894218325614929,0.6892901659011841,0.8983443379402161,-0.062201566994190216,0.00884120911359787,-0.06830404698848724,-0.024537362158298492,0.5424126386642456,0.40458810329437256,0.68912273645401,0.8998137712478638,0.9455862555359212,-0.06188836693763733,0.009117640554904938,-0.06822856515645981,-0.026331612840294838,1.0,1.0,54,55,0,1,inf,0.0,8.701690603629686e-06,0.001
56,0.5190502405166626,0.38119062781333923,0.6892980933189392,0.6892896294593811,0.8983500599861145,-0.06220091134309769,0.008842173963785172,-0.0683039054274559,-0.024535642936825752,0.5424132347106934,0.40458858013153076,0.6891232132911682,0.8998137712478638,0.9455610209795646,-0.061889152973890305,0.00911614391952753,-0.06822679191827774,-0.026349226012825966,1.0,1.0,55,56,0,1,inf,0.0,8.701690603629686e-06,0.001
57,0.5190826654434204,0.3811909854412079,0.6894583702087402,0.6892901659011841,0.8982195258140564,-0.06220199167728424,0.00884055532515049,-0.06830376386642456,-0.02456710673868656,0.5424129962921143,0.4045882821083069,0.6891235113143921,0.9001241326332092,0.9458337191477103,-0.06189123913645744,0.009115706197917461,-0.06822891533374786,-0.026325492188334465,1.0,1.0,56,57,0,1,inf,0.0,8.701690603629686e-06,0.001
58,0.5189776420593262,0.3811907470226288,0.6889345049858093,0.6892898678779602,0.8981882929801941,-0.06220150366425514,0.00884166732430458,-0.06830362975597382,-0.02452346310019493,0.5424101948738098,0.40458595752716064,0.6891210675239563,0.8999999761581421,0.9457102585470745,-0.06188682094216347,0.009121553041040897,-0.0682293102145195,-0.026301871985197067,1.0,1.0,57,58,0,1,inf,0.0,8.701690603629686e-06,0.001
59,0.5190845727920532,0.3811910152435303,0.6894679069519043,0.6892901062965393,0.8982564210891724,-0.06220235675573349,0.008842365816235542,-0.06830376386642456,-0.024580834433436394,0.5424084663391113,0.40458446741104126,0.6891201138496399,0.900062084197998,0.9456279514799839,-0.06188648194074631,0.00912365410476923,-0.06822849810123444,-0.02628367766737938,1.0,1.0,58,59,0,1,inf,0.0,8.701690603629686e-06,0.001
60,0.5190089344978333,0.3811894953250885,0.6890972852706909,0.6892887353897095,0.8981939554214478,-0.06220024824142456,0.008844483643770218,-0.06830376386642456,-0.024604864418506622,0.5424091815948486,0.404585063457489,0.6891207098960876,0.900062084197998,0.9456320668333384,-0.06188728287816048,0.009122315794229507,-0.06822925806045532,-0.02630363032221794,1.0,1.0,59,60,0,1,inf,0.0,8.701690603629686e-06,0.001
61,0.5190465450286865,0.38118869066238403,0.6892892122268677,0.6892879605293274,0.8981882929801941,-0.062199097126722336,0.008846988901495934,-0.06830432265996933,-0.024525610730051994,0.5424100756645203,0.4045858681201935,0.6891211271286011,0.8996275663375854,0.9452246468512403,-0.06188645586371422,0.009120159782469273,-0.06822773069143295,-0.026311026886105537,1.0,1.0,60,61,0,1,inf,0.0,8.701690603629686e-06,0.001
62,0.5190187096595764,0.38118982315063477,0.6891443133354187,0.6892890334129333,0.898279070854187,-0.06220022216439247,0.008844047784805298,-0.06830432265996933,-0.02457178756594658,0.5424096584320068,0.40458548069000244,0.6891207098960876,0.8998137712478638,0.9453830879553896,-0.06188644468784332,0.009120934642851353,-0.06822726130485535,-0.026285002008080482,1.0,1.0,61,62,0,1,inf,0.0,8.701690603629686e-06,0.001
63,0.5190799832344055,0.38118934631347656,0.6894532442092896,0.6892884969711304,0.8982081413269043,-0.06219985708594322,0.008845290169119835,-0.06830362975597382,-0.024570977315306664,0.5424092411994934,0.4045850932598114,0.6891207098960876,0.8996275663375854,0.9454324721956439,-0.06188695877790451,0.0091201551258564,-0.06822726130485535,-0.02634599432349205,1.0,1.0,62,63,0,1,inf,0.0,8.701690603629686e-06,0.001
