node_id,lon,lat,x_m,y_m
310698202,-87.6357748,41.8989663,447263.316,4638754.071
310698283,-87.6357532,41.8981801,447264.461,4638666.768
310702170,-87.7056981,42.0695872,441619.327,4657743.362
310702192,-87.7068709,42.0704431,441523.089,4657839.195
311033967,-87.6878354,41.8881344,442935.295,4637584.743
311051894,-87.765926,41.9168945,436485.155,4640832.801
311438235,-87.668416,41.9761913,444622.612,4647348.824
311438807,-87.6587672,41.9763389,445422.132,4647359.02
311440672,-87.7474184,42.0493822,438148.284,4655529.308
311441666,-87.7359823,42.0534439,439098.55,4655972.076
311441673,-87.7347683,42.0534447,439199.008,4655971.301
311441716,-87.7335607,42.0534456,439298.937,4655970.543
311441811,-87.7310991,42.0552591,439504.353,4656170.154
311441846,-87.729892,42.0552582,439604.235,4656169.201
311441864,-87.7296129,42.055258,439627.33,4656168.981
311441881,-87.728685,42.0552573,439704.11,4656168.249
311441963,-87.7262717,42.0552674,439903.812,4656167.672
311442003,-87.7250663,42.0552799,440003.566,4656168.214
311442026,-87.7238692,42.0552923,440102.634,4656168.752
311442054,-87.7226504,42.0553035,440203.496,4656169.142
311442188,-87.721436,42.0553185,440303.997,4656169.959
311442303,-87.7190368,42.0553481,440502.55,4656171.574
311442353,-87.7202305,42.0553334,440403.762,4656170.773
311442398,-87.7177854,42.0553636,440606.114,4656172.425
311442559,-87.7164458,42.0553801,440716.976,4656173.328
311442597,-87.7161094,42.0553693,440744.802,4656171.896
311442729,-87.7156671,42.0553078,440781.344,4656164.761
311442747,-87.7154062,42.0552477,440802.877,4656157.908
311442774,-87.7130912,42.0542531,440993.514,4656045.877
311442794,-87.714814,42.055047,440851.693,4656135.214
311442832,-87.7128202,42.0541248,441015.82,4656031.444
311443722,-87.7566221,42.0517267,437388.94,4655796.316
311443734,-87.7567251,42.0516948,437380.386,4655792.849
