epoch,train_loss,train_huber,train_rank,validation_loss,validation_huber,validation_rank,validation_spearman
1.0,0.5626823306083679,0.42289015650749207,0.6989608407020569,0.5838712453842163,0.4441069960594177,0.6988210678100586,-0.9340365104050283
2.0,0.5626405477523804,0.42289024591445923,0.6987514495849609,0.5838711261749268,0.44410690665245056,0.6988210082054138,-0.9340350010802803
3.0,0.5626675486564636,0.42289024591445923,0.6988865733146667,0.5838711261749268,0.44410690665245056,0.6988210678100586,-0.9340350010802803
4.0,0.5626312494277954,0.42289024591445923,0.6987048387527466,0.5838711261749268,0.44410690665245056,0.6988210678100586,-0.9340653178933291
5.0,0.5626402497291565,0.42289024591445923,0.6987498998641968,0.5838711261749268,0.44410690665245056,0.6988210678100586,-0.9340350010802803
6.0,0.562604546546936,0.42289018630981445,0.6985717415809631,0.583871066570282,0.4441068470478058,0.6988210082054138,-0.9340350010802803
7.0,0.5626404285430908,0.42289015650749207,0.6987512707710266,0.5838712453842163,0.4441069960594177,0.6988210678100586,-0.9340370587569575
8.0,0.5625988841056824,0.42289024591445923,0.6985431909561157,0.5838711261749268,0.44410693645477295,0.6988210678100586,-0.9340961830593657
9.0,0.5626511573791504,0.42289018630981445,0.6988047957420349,0.5838711261749268,0.44410690665245056,0.6988210082054138,-0.9340350010802803
10.0,0.562657356262207,0.42289015650749207,0.6988360285758972,0.5838713049888611,0.4441070556640625,0.6988211870193481,-0.9340350010802803
11.0,0.5626925230026245,0.42289015650749207,0.6990118622779846,0.583871066570282,0.4441068470478058,0.6988210082054138,-0.9340350010802803
12.0,0.5626693367958069,0.4228900969028473,0.6988961696624756,0.5838712453842163,0.4441070258617401,0.6988211274147034,-0.9340370587569575
13.0,0.5626007318496704,0.4228900969028473,0.698553204536438,0.5838711261749268,0.44410690665245056,0.6988210678100586,-0.9340350010802803
14.0,0.5626929402351379,0.4228901267051697,0.6990140676498413,0.5838711261749268,0.44410693645477295,0.6988210082054138,-0.9340350010802803
15.0,0.5626298189163208,0.4228901267051697,0.6986984610557556,0.5838712453842163,0.4441069960594177,0.6988210678100586,-0.9340241643386137
16.0,0.5626435279846191,0.42289015650749207,0.6987667679786682,0.5838711261749268,0.44410690665245056,0.6988210082054138,-0.9340350010802803
17.0,0.5625959634780884,0.42289018630981445,0.6985288858413696,0.5838710069656372,0.4441068172454834,0.698820948600769,-0.9340350010802803
18.0,0.5627022981643677,0.42289018630981445,0.6990606188774109,0.5838711261749268,0.44410690665245056,0.6988210082054138,-0.9340961830593657
19.0,0.5626236796379089,0.42289024591445923,0.6986672282218933,0.5838711261749268,0.44410690665245056,0.6988210082054138,-0.9340350010802803
20.0,0.5625846982002258,0.42289015650749207,0.6984726786613464,0.5838710069656372,0.4441068172454834,0.698820948600769,-0.9340350010802803
21.0,0.5626687407493591,0.42289024591445923,0.6988924741744995,0.5838712453842163,0.4441069960594177,0.6988210678100586,-0.9340350010802803
22.0,0.5625360608100891,0.42289024591445923,0.6982291340827942,0.5838710069656372,0.4441068172454834,0.698820948600769,-0.9340370587569575
23.0,0.5625824332237244,0.4228901267051697,0.6984615921974182,0.5689315795898438,0.4301624894142151,0.6938453316688538,-0.22437935327222033
24.0,0.5474263429641724,0.4086308479309082,0.6939774751663208,0.5745250582695007,0.43603354692459106,0.6924574375152588,0.07253721822690001
25.0,0.5541338324546814,0.4154855012893677,0.6932417154312134,0.5727620720863342,0.43426623940467834,0.6924792528152466,0.23968846775106228
26.0,0.5518804788589478,0.41326621174812317,0.6930713057518005,0.5663537979125977,0.4280100166797638,0.6917189359664917,0.3815261787915265
27.0,0.5445569753646851,0.406132310628891,0.6921231746673584,0.5615520477294922,0.4233511686325073,0.6910044550895691,0.3985925491527516
28.0,0.5388220548629761,0.40069106221199036,0.6906549334526062,0.5577468872070312,0.41960784792900085,0.6906952857971191,0.40300626562548225
29.0,0.5345981121063232,0.396531343460083,0.6903337836265564,0.5494807362556458,0.4113880693912506,0.6904633641242981,0.3950348261777627
30.0,0.525646448135376,0.3876793384552002,0.6898353695869446,0.5525880455970764,0.414120078086853,0.6923397779464722,0.2809778079570357
31.0,0.5290928483009338,0.39073044061660767,0.6918120384216309,0.5507254004478455,0.41227519512176514,0.6922509074211121,0.30411432451618875
32.0,0.5274827480316162,0.3890519142150879,0.6921541094779968,0.5488496422767639,0.4104883074760437,0.6918066740036011,0.3832772616438779
33.0,0.5253598690032959,0.3870933949947357,0.6913322806358337,0.5492289066314697,0.4108525812625885,0.6918817162513733,0.3404631830200521
34.0,0.5258243680000305,0.38752487301826477,0.6914975643157959,0.5510818958282471,0.4126202464103699,0.6923083066940308,0.29558937004228525
35.0,0.5273469686508179,0.3889995217323303,0.691737174987793,0.5529650449752808,0.41444024443626404,0.6926240921020508,0.28612199965019497
36.0,0.5288459062576294,0.39053207635879517,0.6915690898895264,0.553193211555481,0.4147794246673584,0.6920688152313232,0.2625904091690073
37.0,0.5285682678222656,0.3904535472393036,0.6905735731124878,0.5542307496070862,0.4158751666545868,0.6917778253555298,0.23514923300101856
38.0,0.52998948097229,0.3920063078403473,0.6899157166481018,0.553229033946991,0.4148874878883362,0.6917077898979187,0.22778686584976904
39.0,0.5290935039520264,0.3910977840423584,0.6899784207344055,0.5514183044433594,0.4131273925304413,0.6914547085762024,0.27148163009146375
40.0,0.5274835228919983,0.3892771899700165,0.6910317540168762,0.5494809150695801,0.4112105071544647,0.6913520693778992,0.28402522711606326
41.0,0.5254100561141968,0.3874470591545105,0.689815104007721,0.5469972491264343,0.4087710976600647,0.6911308169364929,0.29897013282302953
42.0,0.5228727459907532,0.38489028811454773,0.6899123191833496,0.5443108677864075,0.40619951486587524,0.6905567646026611,0.32157576879944855
43.0,0.5201345682144165,0.38208967447280884,0.690224289894104,0.5424038171768188,0.4043746292591095,0.6901458501815796,0.3248557054230069
44.0,0.5175656676292419,0.37982338666915894,0.688711404800415,0.540621280670166,0.4027029871940613,0.6895915865898132,0.3107441587703324
45.0,0.5155416131019592,0.3778146207332611,0.6886348724365234,0.5336288809776306,0.39632755517959595,0.6865066885948181,0.3393211724641707
46.0,0.5069641470909119,0.37005528807640076,0.6845442652702332,0.535965621471405,0.3987099528312683,0.6862784028053284,0.3479572414786465
