scope,method,requested_k,rank,region_id,z0_score,current_gain,future_gain
all_candidates,marginal_coverage,10,3,474,0.540103555,77.631000000,73.839500000
all_candidates,marginal_coverage,10,4,716,0.538434267,51.921000000,53.590000000
all_candidates,marginal_coverage,10,5,642,0.488436818,42.669500000,51.545000000
all_candidates,marginal_coverage,10,6,520,0.475850284,83.438500000,84.154000000
all_candidates,marginal_coverage,10,7,1162,0.453003615,47.727000000,44.460500000
all_candidates,marginal_coverage,10,8,1182,0.400384218,19.348500000,18.873500000
all_candidates,marginal_coverage,10,9,785,0.422214270,59.605000000,68.568000000
all_candidates,marginal_coverage,10,10,1141,0.363301277,50.822500000,51.246000000
all_candidates,marginal_coverage,18,1,745,0.573153615,49.098500000,51.451000000
all_candidates,marginal_coverage,18,2,1130,0.557180762,33.439500000,36.594500000
all_candidates,marginal_coverage,18,3,474,0.540103555,77.631000000,73.839500000
all_candidates,marginal_coverage,18,4,716,0.538434267,51.921000000,53.590000000
all_candidates,marginal_coverage,18,5,642,0.488436818,42.669500000,51.545000000
all_candidates,marginal_coverage,18,6,520,0.475850284,83.438500000,84.154000000
all_candidates,marginal_coverage,18,7,1162,0.453003615,47.727000000,44.460500000
all_candidates,marginal_coverage,18,8,1182,0.400384218,19.348500000,18.873500000
all_candidates,marginal_coverage,18,9,785,0.422214270,59.605000000,68.568000000
all_candidates,marginal_coverage,18,10,1141,0.363301277,50.822500000,51.246000000
all_candidates,marginal_coverage,18,11,1094,0.358758390,52.522000000,49.115000000
all_candidates,marginal_coverage,18,12,673,0.323596150,18.975000000,15.782500000
all_candidates,marginal_coverage,18,13,120,0.276648730,33.017000000,32.687500000
all_candidates,marginal_coverage,18,14,443,0.248176321,31.335500000,33.732000000
all_candidates,marginal_coverage,18,15,1108,0.236366525,13.749000000,10.938500000
all_candidates,marginal_coverage,18,16,679,0.210151449,24.212000000,20.632000000
all_candidates,marginal_coverage,18,17,1084,0.222705081,20.670000000,22.226000000
all_candidates,marginal_coverage,18,18,1032,0.205331758,35.473000000,32.734500000
all_candidates,hard_disjoint,5,1,745,0.573153615,49.098500000,51.451000000
all_candidates,hard_disjoint,5,2,1130,0.557180762,33.439500000,36.594500000
all_candidates,hard_disjoint,5,3,474,0.540103555,77.631000000,73.839500000
all_candidates,hard_disjoint,5,4,716,0.538434267,51.921000000,53.590000000
all_candidates,hard_disjoint,5,5,642,0.488436818,42.669500000,51.545000000
all_candidates,hard_disjoint,10,1,745,0.573153615,49.098500000,51.451000000
all_candidates,hard_disjoint,10,2,1130,0.557180762,33.439500000,36.594500000
all_candidates,hard_disjoint,10,3,474,0.540103555,77.631000000,73.839500000
all_candidates,hard_disjoint,10,4,716,0.538434267,51.921000000,53.590000000
all_candidates,hard_disjoint,10,5,642,0.488436818,42.669500000,51.545000000
all_candidates,hard_disjoint,10,6,520,0.475850284,83.438500000,84.154000000
all_candidates,hard_disjoint,10,7,1162,0.453003615,47.727000000,44.460500000
all_candidates,hard_disjoint,10,8,1182,0.400384218,19.348500000,18.873500000
all_candidates,hard_disjoint,10,9,1141,0.363301277,50.822500000,51.246000000
all_candidates,hard_disjoint,10,10,1094,0.358758390,52.522000000,49.115000000
all_candidates,hard_disjoint,18,1,745,0.573153615,49.098500000,51.451000000
all_candidates,hard_disjoint,18,2,1130,0.557180762,33.439500000,36.594500000
all_candidates,hard_disjoint,18,3,474,0.540103555,77.631000000,73.839500000
all_candidates,hard_disjoint,18,4,716,0.538434267,51.921000000,53.590000000
all_candidates,hard_disjoint,18,5,642,0.488436818,42.669500000,51.545000000
all_candidates,hard_disjoint,18,6,520,0.475850284,83.438500000,84.154000000
all_candidates,hard_disjoint,18,7,1162,0.453003615,47.727000000,44.460500000
all_candidates,hard_disjoint,18,8,1182,0.400384218,19.348500000,18.873500000
all_candidates,hard_disjoint,18,9,1141,0.363301277,50.822500000,51.246000000
all_candidates,hard_disjoint,18,10,1094,0.358758390,52.522000000,49.115000000
all_candidates,hard_disjoint,18,11,673,0.323596150,18.975000000,15.782500000
all_candidates,hard_disjoint,18,12,120,0.276648730,33.017000000,32.687500000
all_candidates,hard_disjoint,18,13,443,0.248176321,31.335500000,33.732000000
all_candidates,hard_disjoint,18,14,1108,0.236366525,13.749000000,10.938500000
all_candidates,hard_disjoint,18,15,679,0.210151449,24.212000000,20.632000000
all_candidates,hard_disjoint,18,16,1032,0.205331758,35.473000000,32.734500000
all_candidates,hard_disjoint,18,17,224,0.205266371,20.566000000,20.970000000
all_candidates,hard_disjoint,18,18,201,0.187868595,27.662500000,28.251000000
train,direct_topk,5,1,745,0.573153615,49.098500000,51.451000000
train,direct_topk,5,2,1193,0.555435061,47.847000000,54.691500000
train,direct_topk,5,3,474,0.540103555,77.631000000,73.839500000
train,direct_topk,5,4,1131,0.538921356,73.539000000,72.658000000
train,direct_topk,5,5,716,0.538434267,51.921000000,53.590000000
train,direct_topk,10,1,745,0.573153615,49.098500000,51.451000000
train,direct_topk,10,2,1193,0.555435061,47.847000000,54.691500000
train,direct_topk,10,3,474,0.540103555,77.631000000,73.839500000
train,direct_topk,10,4,1131,0.538921356,73.539000000,72.658000000
train,direct_topk,10,5,716,0.538434267,51.921000000,53.590000000
train,direct_topk,10,6,786,0.535449207,82.143000000,79.091500000
train,direct_topk,10,7,305,0.530672133,84.048000000,80.255500000
train,direct_topk,10,8,941,0.523841321,62.481500000,59.129500000
train,direct_topk,10,9,717,0.522561073,82.197500000,79.017000000
train,direct_topk,10,10,1191,0.522494376,63.812000000,58.906500000
train,direct_topk,18,1,745,0.573153615,49.098500000,51.451000000
train,direct_topk,18,2,1193,0.555435061,47.847000000,54.691500000
train,direct_topk,18,3,474,0.540103555,77.631000000,73.839500000
train,direct_topk,18,4,1131,0.538921356,73.539000000,72.658000000
