region_id,split,prediction,raw_prediction,prediction_rank,shortcut_count,shortcut_rank,cost_weight
0,train,0.496080066722,28.526275635000,0.516263552961,225,0.201834862385,0.100000000000
1,validation,0.535946622185,32.480194092000,0.610508757298,580,0.745621351126,0.100000000000
2,holdout,0.055045871560,21.661727905000,0.080900750626,255,0.258548790659,0.100000000000
3,train,0.149624687239,22.944328308000,0.213511259383,490,0.638865721435,0.100000000000
4,train,0.886655546289,84.688873291000,0.890742285238,100,0.040867389491,0.100000000000
5,validation,0.630859049208,43.566101074000,0.701417848207,537,0.705587989992,0.100000000000
6,train,-0.031276063386,20.857254028000,0.043369474562,580,0.746455379483,0.100000000000
7,train,0.216930775646,23.226247787000,0.250208507089,293,0.332777314429,0.100000000000
8,train,0.544203502919,29.950229645000,0.557130942452,185,0.129274395329,0.100000000000
9,train,0.272143452877,24.756752014000,0.347789824854,591,0.756463719766,0.100000000000
10,train,0.742118432027,68.762611389000,0.837364470392,979,0.952460383653,0.100000000000
11,train,0.453628023353,28.058336258000,0.499582985822,364,0.459549624687,0.100000000000
12,train,-0.065971643036,20.122526169000,0.017514595496,676,0.834862385321,0.100000000000
13,validation,0.666889074229,39.893577576000,0.686405337781,222,0.195162635530,0.100000000000
14,train,0.405087572977,28.215087891000,0.503753127606,1213,0.986655546289,0.100000000000
15,validation,0.541951626355,31.606145859000,0.594662218515,405,0.527105921601,0.100000000000
16,train,0.735613010842,65.176719666000,0.828190158465,846,0.925771476230,0.100000000000
17,train,0.861301084237,138.337661743000,0.953294412010,835,0.919933277731,0.100000000000
18,holdout,0.621434528774,38.093231201000,0.673894912427,404,0.524603836530,0.100000000000
19,train,0.102335279399,22.185255051000,0.129274395329,263,0.269391159299,0.100000000000
20,train,0.359132610509,25.364429474000,0.371976647206,184,0.128440366972,0.100000000000
21,holdout,0.778732276897,72.272323608000,0.854879065888,595,0.761467889908,0.100000000000
22,train,0.608840700584,37.057086945000,0.664720600500,430,0.558798999166,0.100000000000
23,train,0.535946622185,32.035957336000,0.602168473728,509,0.662218515430,0.100000000000
24,train,-0.048707256047,20.508930206000,0.030025020851,625,0.787322768974,0.100000000000
25,train,0.751626355296,64.929489136000,0.826522101751,584,0.748957464554,0.100000000000
26,holdout,0.932026688907,200.123428345000,0.979983319433,372,0.479566305254,0.100000000000
27,train,0.232693911593,24.243968964000,0.317764804003,704,0.850708924103,0.100000000000
28,train,0.529024186822,32.702091217000,0.617180984153,746,0.881567973311,0.100000000000
29,train,0.651959966639,50.573204041000,0.747289407840,983,0.953294412010,0.100000000000
30,train,0.340116763970,26.283229828000,0.417848206839,611,0.777314428691,0.100000000000
31,train,0.029858215179,21.227815628000,0.058381984987,272,0.285237698082,0.100000000000
32,holdout,-0.006338615513,20.499671936000,0.029190992494,306,0.355296080067,0.100000000000
33,train,0.777981651376,74.939956665000,0.864887406172,735,0.869057547957,0.100000000000
34,train,0.256547122602,24.772449493000,0.349457881568,870,0.929107589658,0.100000000000
35,holdout,0.279733110926,23.788906097000,0.292743953294,187,0.130108423686,0.100000000000
36,validation,0.247372810676,23.295806885000,0.256046705588,146,0.086738949124,0.100000000000
37,validation,0.778315262719,70.272666931000,0.843202668891,494,0.648874061718,0.100000000000
38,holdout,0.512010008340,30.793682098000,0.576313594662,491,0.643035863219,0.100000000000
39,train,0.710425354462,49.467658997000,0.738115095913,268,0.276897414512,0.100000000000
40,train,-0.022185154295,18.320775986000,0.000834028357,240,0.230191826522,0.100000000000
41,train,0.035779816514,21.094545364000,0.053377814846,211,0.175979983319,0.100000000000
42,train,0.236113427857,23.189363480000,0.247706422018,172,0.115929941618,0.100000000000
43,train,0.879983319433,114.567932129000,0.930775646372,392,0.507923269391,0.100000000000
44,holdout,0.788573811510,70.523429871000,0.845704753962,437,0.571309424520,0.100000000000
45,train,0.647789824854,41.380718231000,0.690575479566,345,0.427856547123,0.100000000000
46,train,0.105671392827,22.816633224000,0.199332777314,901,0.936613844871,0.100000000000
47,train,0.334862385321,25.092773438000,0.359466221852,249,0.246038365304,0.100000000000
48,train,0.648290241868,37.310146332000,0.667222685571,219,0.189324437031,0.100000000000
49,train,0.137197664721,22.511865616000,0.162635529608,253,0.254378648874,0.100000000000
50,train,0.258632193495,24.037162781000,0.307756463720,382,0.491242702252,0.100000000000
51,train,0.417681401168,27.243907928000,0.474562135113,436,0.568807339450,0.100000000000
52,train,0.336864053378,26.211685181000,0.413678065054,603,0.768140116764,0.100000000000
53,train,0.845287739783,120.537628174000,0.935779816514,790,0.904920767306,0.100000000000
54,train,0.621017514595,33.381500244000,0.627189324437,125,0.061718098415,0.100000000000
55,validation,0.120600500417,22.470298767000,0.159299416180,326,0.386989157631,0.100000000000
56,train,0.681234361968,51.934394836000,0.754795663053,563,0.735613010842,0.100000000000
57,train,0.888824020017,102.981971741000,0.912427022519,244,0.236030025021,0.100000000000
58,train,0.001918265221,20.072019577000,0.015012510425,187,0.130942452043,0.100000000000
59,train,0.701167639700,56.880714417000,0.785654712260,691,0.844870725605,0.100000000000
60,train,0.212593828190,23.642822266000,0.282735613011,534,0.701417848207,0.100000000000
61,holdout,0.418265221018,26.312637329000,0.421184320267,86,0.029190992494,0.100000000000
62,holdout,-0.033194328607,21.095787048000,0.054211843203,739,0.874061718098,0.100000000000
63,train,0.780150125104,57.732666016000,0.790658882402,161,0.105087572977,0.100000000000
64,train,0.009424520434,20.911926270000,0.045037531276,306,0.356130108424,0.100000000000
65,train,0.139282735613,22.573789597000,0.170141784821,278,0.308590492077,0.100000000000
66,train,0.769641367807,71.528762817000,0.848206839033,623,0.785654712260,0.100000000000
67,train,-0.024520433695,21.177879333000,0.056713928274,644,0.812343619683,0.100000000000
68,train,0.680984153461,52.478549957000,0.758131776480,605,0.771476230192,0.100000000000
69,validation,0.761968306922,68.818176270000,0.838198498749,597,0.762301918265,0.100000000000
70,train,0.087656380317,21.789958954000,0.090909090909,89,0.032527105922,0.100000000000
71,train,0.196830692244,23.317443848000,0.259382819016,478,0.625521267723,0.100000000000
72,train,0.864637197665,113.093521118000,0.929941618015,497,0.653044203503,0.100000000000
73,train,0.705838198499,55.223968506000,0.776480400334,537,0.706422018349,0.100000000000
74,train,0.426939115930,27.183225632000,0.468723936614,339,0.417848206839,0.100000000000
75,train,0.510842368641,29.933387756000,0.556296914095,362,0.454545454545,0.100000000000
76,train,0.747956630525,60.889045715000,0.809841534612,473,0.618849040867,0.100000000000
77,holdout,0.870642201835,155.360839844000,0.964136780651,888,0.934945788157,0.100000000000
78,holdout,0.474728940784,27.329250336000,0.476230191827,65,0.015012510425,0.100000000000
79,train,0.162718932444,22.941629410000,0.212677231026,387,0.499582985822,0.100000000000
80,train,0.776647206005,72.548416138000,0.859049207673,659,0.824020016681,0.100000000000
81,train,0.294995829858,24.902885437000,0.355296080067,463,0.603002502085,0.100000000000
82,holdout,0.860383653044,93.938903809000,0.902418682235,340,0.420350291910,0.100000000000
83,train,0.215429524604,22.981302261000,0.218515429525,87,0.030859049208,0.100000000000
84,validation,0.893661384487,128.461868286000,0.944954128440,400,0.512927439533,0.100000000000
85,train,0.518348623853,29.252605438000,0.533778148457,199,0.154295246038,0.100000000000
86,validation,0.512343619683,29.554748535000,0.544620517098,287,0.322768974145,0.100000000000
87,train,0.217097581318,23.026853561000,0.227689741451,161,0.105921601334,0.100000000000
88,train,0.042952460384,22.193088531000,0.131776480400,760,0.888240200167,0.100000000000
89,train,0.697414512093,45.514972687000,0.710592160133,187,0.131776480400,0.100000000000
90,train,0.232443703086,23.181272507000,0.246872393661,193,0.144286905755,0.100000000000
91,train,0.722768974145,49.413364410000,0.737281067556,193,0.145120934112,0.100000000000
92,validation,0.404920767306,27.046657562000,0.461217681401,431,0.562969140951,0.100000000000
93,validation,0.197497914929,23.445106506000,0.270225187656,556,0.727272727273,0.100000000000
94,train,0.796163469558,61.844249725000,0.813177648040,207,0.170141784821,0.100000000000
95,holdout,0.087989991660,21.869941711000,0.098415346122,160,0.104253544621,0.100000000000
96,train,0.112760633862,22.734321594000,0.188490408674,591,0.757297748123,0.100000000000
97,train,0.544286905755,33.942646027000,0.633861551293,770,0.895746455379,0.100000000000
98,train,0.147956630525,23.127641678000,0.241868223520,904,0.939115929942,0.100000000000
