method,train_query_count,test_query_count,region_count,region_size,shortcut_count,internal_node_count,compressed_node_count,compressed_edge_count,fallback_query_count,fallback_rate_pct,preprocessing_seconds,evaluation_wall_seconds,baseline_avg_ms,indexed_avg_ms,elapsed_change_pct,baseline_p95_ms,indexed_p95_ms,p95_change_pct,baseline_avg_expanded,indexed_avg_expanded,expanded_change_pct,faster_query_rate_pct,correctness_rate
gnn_v1_budget_matched,68657,14713,85,512,38991,40875,92964,190359,5509,37.443077550465574,78.26845854600015,53.044955398000184,15.621498773534782,13.742144900907315,-12.030560574708627,65.80636159978893,57.389571399926346,-12.790237896832114,10764.915448922722,8378.468497247331,-22.168747752814067,70.73336505131516,1
random_bfs_seed1,68657,14713,100,512,40968,48445,85394,177781,8219,55.86216271324679,1.4317627999998876,56.575145702999635,16.269287576430987,14.931064865152518,-8.225453665329063,67.96826160016278,62.07017740025545,-8.67770347666682,10764.915448922722,9151.552096785155,-14.987236637320933,58.44491266227146,1
random_bfs_seed2,68657,14713,100,512,38657,48415,85424,177957,8093,55.00577720383334,1.6019321440003296,55.149594952999905,16.51261013178723,15.111889679670005,-8.482731929949704,69.91180859995437,63.403046200164624,-9.309961407283629,10764.915448922722,9095.07122952491,-15.511912075119161,60.91211853462924,1
random_bfs_seed3,68657,14713,100,512,37261,48442,85397,175160,8969,60.959695507374434,1.471708006999961,57.307672295999964,16.405892609800734,14.989628406169492,-8.632655578795989,68.81508160004157,61.96890459978022,-9.948657824823703,10764.915448922722,9153.303744987426,-14.97096481232999,63.36573098620267,1
random_bfs_seed4,68657,14713,100,512,39745,48431,85408,178142,8203,55.75341534697207,1.6067983329999151,56.56201663799993,16.46949684353738,15.176119810371542,-7.853166647731314,67.82943060015894,62.96591620002797,-7.170212630562133,10764.915448922722,9163.488479575884,-14.876354365673139,63.99782505267451,1
random_bfs_seed5,68657,14713,100,512,36562,48528,85311,174887,6365,43.261061646163256,1.5159902529999272,55.20559303400023,16.47563905219875,14.735861384626554,-10.5596976363719,69.68688599999949,62.307592799879785,-10.589213586211555,10764.915448922722,8768.198735811868,-18.54837339489436,59.328485013253584,1
od_hotspot_bfs,68657,14713,100,512,47550,48192,85647,186857,11749,79.85455039760755,5.372284368999772,58.35158732000036,16.444628556446702,16.008008034527634,-2.655095069009028,68.25224419990262,67.18055939991241,-1.5701825083602738,10764.915448922722,10159.892340107388,-5.620323835203744,55.950519948345004,1
