method,window,seed,stratum,query_count,delta_mean,delta_median,improved_query_fraction,tied_query_fraction,degraded_query_fraction
BRIDGE,current_y,42,head,1987,-10.125817815802717,0.0,0.45898339204831407,0.04831404126824358,0.49270256668344237
BRIDGE,current_y,42,non_head,13,12.076923076923077,0.0,0.15384615384615385,0.6153846153846154,0.23076923076923078
BRIDGE,current_y,43,head,1987,-10.125817815802717,0.0,0.45898339204831407,0.04831404126824358,0.49270256668344237
BRIDGE,current_y,43,non_head,13,12.076923076923077,0.0,0.15384615384615385,0.6153846153846154,0.23076923076923078
BRIDGE,current_y,44,head,1987,61.898842476094615,23.0,0.5254151987921489,0.04529441368897836,0.42929038751887266
BRIDGE,current_y,44,non_head,13,2.8461538461538463,0.0,0.15384615384615385,0.6153846153846154,0.23076923076923078
BRIDGE,future_f,42,head,1981,-20.367995961635536,-14.0,0.4386673397274104,0.038869257950530034,0.5224634023220596
BRIDGE,future_f,42,non_head,19,2.4210526315789473,0.0,0.2631578947368421,0.5263157894736842,0.21052631578947367
BRIDGE,future_f,43,head,1981,-20.367995961635536,-14.0,0.4386673397274104,0.038869257950530034,0.5224634023220596
BRIDGE,future_f,43,non_head,19,2.4210526315789473,0.0,0.2631578947368421,0.5263157894736842,0.21052631578947367
BRIDGE,future_f,44,head,1981,51.873801110550225,1.0,0.5022715800100959,0.03634528016153458,0.46138313982836954
BRIDGE,future_f,44,non_head,19,25.157894736842106,0.0,0.2631578947368421,0.5263157894736842,0.21052631578947367
BRIDGE-B,current_y,42,head,1987,75.70558631102163,2.0,0.5108203321590338,0.24458983392048314,0.24458983392048314
BRIDGE-B,current_y,42,non_head,13,40.69230769230769,0.0,0.3076923076923077,0.6153846153846154,0.07692307692307693
BRIDGE-B,current_y,43,head,1987,75.70558631102163,2.0,0.5108203321590338,0.24458983392048314,0.24458983392048314
BRIDGE-B,current_y,43,non_head,13,40.69230769230769,0.0,0.3076923076923077,0.6153846153846154,0.07692307692307693
BRIDGE-B,current_y,44,head,1987,75.70558631102163,2.0,0.5108203321590338,0.24458983392048314,0.24458983392048314
BRIDGE-B,current_y,44,non_head,13,40.69230769230769,0.0,0.3076923076923077,0.6153846153846154,0.07692307692307693
BRIDGE-B,future_f,42,head,1981,76.76072690560324,3.0,0.5143866733972741,0.22463402322059567,0.2609793033821302
BRIDGE-B,future_f,42,non_head,19,17.894736842105264,0.0,0.21052631578947367,0.6842105263157895,0.10526315789473684
BRIDGE-B,future_f,43,head,1981,76.76072690560324,3.0,0.5143866733972741,0.22463402322059567,0.2609793033821302
BRIDGE-B,future_f,43,non_head,19,17.894736842105264,0.0,0.21052631578947367,0.6842105263157895,0.10526315789473684
BRIDGE-B,future_f,44,head,1981,76.76072690560324,3.0,0.5143866733972741,0.22463402322059567,0.2609793033821302
BRIDGE-B,future_f,44,non_head,19,17.894736842105264,0.0,0.21052631578947367,0.6842105263157895,0.10526315789473684
BRIDGE,current_y,seed_mean,head,1987,13.882402281496395,0.0,0.48666331152491193,0.04529441368897836,0.4680422747861097
BRIDGE,current_y,seed_mean,non_head,13,9.000000000000004,0.0,0.15384615384615385,0.6153846153846154,0.23076923076923078
BRIDGE,future_f,seed_mean,head,1981,3.7126030624263855,-2.0,0.4598687531549722,0.03634528016153458,0.5037859666834932
BRIDGE,future_f,seed_mean,non_head,19,10.0,0.0,0.2631578947368421,0.5263157894736842,0.21052631578947367
BRIDGE-B,current_y,seed_mean,head,1987,75.70558631102163,2.0,0.5108203321590338,0.24458983392048314,0.24458983392048314
BRIDGE-B,current_y,seed_mean,non_head,13,40.69230769230769,0.0,0.3076923076923077,0.6153846153846154,0.07692307692307693
BRIDGE-B,future_f,seed_mean,head,1981,76.76072690560324,3.0,0.5143866733972741,0.22463402322059567,0.2609793033821302
BRIDGE-B,future_f,seed_mean,non_head,19,17.894736842105264,0.0,0.21052631578947367,0.6842105263157895,0.10526315789473684
