scope,method,requested_k,rank,region_id,z0_score,current_gain,future_gain
all_candidates,marginal_coverage,10,3,917,0.944515586,106.258500000,111.718000000
all_candidates,marginal_coverage,10,4,544,0.873168170,141.395000000,146.656000000
all_candidates,marginal_coverage,10,5,973,0.738340080,148.277500000,153.817500000
all_candidates,marginal_coverage,10,6,508,0.718191743,148.107500000,142.877000000
all_candidates,marginal_coverage,10,7,388,0.720611691,123.270500000,130.033000000
all_candidates,marginal_coverage,10,8,402,0.690608263,148.394000000,149.046000000
all_candidates,marginal_coverage,10,9,601,0.447278857,101.992500000,99.904000000
all_candidates,marginal_coverage,10,10,897,0.432455063,112.317000000,114.649500000
all_candidates,marginal_coverage,18,1,988,1.352652073,181.537500000,186.602500000
all_candidates,marginal_coverage,18,2,1031,1.190610766,171.198000000,165.984000000
all_candidates,marginal_coverage,18,3,917,0.944515586,106.258500000,111.718000000
all_candidates,marginal_coverage,18,4,544,0.873168170,141.395000000,146.656000000
all_candidates,marginal_coverage,18,5,973,0.738340080,148.277500000,153.817500000
all_candidates,marginal_coverage,18,6,508,0.718191743,148.107500000,142.877000000
all_candidates,marginal_coverage,18,7,388,0.720611691,123.270500000,130.033000000
all_candidates,marginal_coverage,18,8,402,0.690608263,148.394000000,149.046000000
all_candidates,marginal_coverage,18,9,601,0.447278857,101.992500000,99.904000000
all_candidates,marginal_coverage,18,10,897,0.432455063,112.317000000,114.649500000
all_candidates,marginal_coverage,18,11,847,0.399687767,117.936500000,107.566000000
all_candidates,marginal_coverage,18,12,560,0.385926723,86.013500000,88.244000000
all_candidates,marginal_coverage,18,13,128,0.384967953,109.144500000,104.480000000
all_candidates,marginal_coverage,18,14,756,0.328111470,113.900000000,113.170000000
all_candidates,marginal_coverage,18,15,518,0.573464394,115.091000000,117.032500000
all_candidates,marginal_coverage,18,16,256,0.314799428,83.566500000,82.397000000
all_candidates,marginal_coverage,18,17,376,0.326138884,95.129500000,92.014500000
all_candidates,marginal_coverage,18,18,151,0.308916271,73.275000000,69.979000000
all_candidates,hard_disjoint,5,1,988,1.352652073,181.537500000,186.602500000
all_candidates,hard_disjoint,5,2,652,0.996122420,163.860500000,163.722000000
all_candidates,hard_disjoint,5,3,917,0.944515586,106.258500000,111.718000000
all_candidates,hard_disjoint,5,4,973,0.738340080,148.277500000,153.817500000
all_candidates,hard_disjoint,5,5,508,0.718191743,148.107500000,142.877000000
all_candidates,hard_disjoint,10,1,988,1.352652073,181.537500000,186.602500000
all_candidates,hard_disjoint,10,2,652,0.996122420,163.860500000,163.722000000
all_candidates,hard_disjoint,10,3,917,0.944515586,106.258500000,111.718000000
all_candidates,hard_disjoint,10,4,973,0.738340080,148.277500000,153.817500000
all_candidates,hard_disjoint,10,5,508,0.718191743,148.107500000,142.877000000
all_candidates,hard_disjoint,10,6,619,0.705458760,109.706000000,114.775500000
all_candidates,hard_disjoint,10,7,402,0.690608263,148.394000000,149.046000000
all_candidates,hard_disjoint,10,8,601,0.447278857,101.992500000,99.904000000
all_candidates,hard_disjoint,10,9,847,0.399687767,117.936500000,107.566000000
all_candidates,hard_disjoint,10,10,560,0.385926723,86.013500000,88.244000000
all_candidates,hard_disjoint,18,1,988,1.352652073,181.537500000,186.602500000
all_candidates,hard_disjoint,18,2,652,0.996122420,163.860500000,163.722000000
all_candidates,hard_disjoint,18,3,917,0.944515586,106.258500000,111.718000000
all_candidates,hard_disjoint,18,4,973,0.738340080,148.277500000,153.817500000
all_candidates,hard_disjoint,18,5,508,0.718191743,148.107500000,142.877000000
all_candidates,hard_disjoint,18,6,619,0.705458760,109.706000000,114.775500000
all_candidates,hard_disjoint,18,7,402,0.690608263,148.394000000,149.046000000
all_candidates,hard_disjoint,18,8,601,0.447278857,101.992500000,99.904000000
all_candidates,hard_disjoint,18,9,847,0.399687767,117.936500000,107.566000000
all_candidates,hard_disjoint,18,10,560,0.385926723,86.013500000,88.244000000
all_candidates,hard_disjoint,18,11,128,0.384967953,109.144500000,104.480000000
all_candidates,hard_disjoint,18,12,951,0.381106585,103.899000000,100.506000000
all_candidates,hard_disjoint,18,13,756,0.328111470,113.900000000,113.170000000
all_candidates,hard_disjoint,18,14,964,0.286721498,46.670000000,46.953500000
all_candidates,hard_disjoint,18,15,192,0.275511473,94.055000000,88.978000000
all_candidates,hard_disjoint,18,16,294,0.271413982,52.788500000,53.960500000
all_candidates,hard_disjoint,18,17,156,0.256192386,46.821500000,43.672500000
all_candidates,hard_disjoint,18,18,131,0.250695616,20.792000000,17.773000000
train,direct_topk,5,1,988,1.352652073,181.537500000,186.602500000
train,direct_topk,5,2,891,1.347485185,164.044000000,165.831500000
train,direct_topk,5,3,768,1.326140642,168.779500000,169.219000000
train,direct_topk,5,4,300,1.323004961,170.123500000,172.576000000
train,direct_topk,5,5,1101,1.296095133,145.308000000,154.292000000
train,direct_topk,10,1,988,1.352652073,181.537500000,186.602500000
