region_id,split,prediction,raw_prediction,prediction_rank,shortcut_count,shortcut_rank,cost_weight
0,validation,0.429024186822,6.264025688000,0.527105921601,2664,0.980817347790,0.100000000000
1,train,0.815012510425,35.164680481000,0.855713094245,1144,0.407005838198,0.100000000000
2,train,0.824020016681,44.630393982000,0.885738115096,1447,0.617180984153,0.100000000000
3,train,0.719266055046,20.472770691000,0.758965804837,1135,0.396997497915,0.100000000000
4,train,-0.081234361968,0.495650291000,0.018348623853,3972,0.995829858215,0.100000000000
5,validation,0.949207673061,62.864814758000,0.952460383653,484,0.032527105922,0.100000000000
6,holdout,0.936697247706,61.455909729000,0.943286071726,594,0.065888240200,0.100000000000
7,train,0.515512927440,8.795568466000,0.582985821518,1529,0.674728940784,0.100000000000
8,train,0.363302752294,3.442466736000,0.405337781485,1162,0.420350291910,0.100000000000
9,train,0.822685571309,40.293106079000,0.873227689741,1266,0.505421184320,0.100000000000
10,validation,0.491659716430,7.979220390000,0.563803169308,1595,0.721434528774,0.100000000000
11,train,-0.018598832360,-3.461355209000,0.000000000000,824,0.185988323603,0.100000000000
12,train,0.600667222686,10.167084694000,0.616346955796,768,0.156797331109,0.100000000000
13,validation,0.252793994996,1.952938080000,0.278565471226,939,0.257714762302,0.100000000000
14,train,0.008757297748,1.038563728000,0.084236864053,1644,0.754795663053,0.100000000000
15,holdout,0.515596330275,7.880254745000,0.560467055880,1200,0.448707256047,0.100000000000
16,train,0.420683903253,4.214176178000,0.457047539616,1093,0.363636363636,0.100000000000
17,holdout,0.001251042535,1.108995438000,0.100917431193,4097,0.996663886572,0.100000000000
18,train,0.248123436197,2.065734863000,0.290241868224,1162,0.421184320267,0.100000000000
19,train,0.361718098415,3.709210396000,0.428690575480,1526,0.669724770642,0.100000000000
20,train,0.306088407006,2.728597641000,0.354462051710,1238,0.483736447039,0.100000000000
21,train,0.590075062552,11.873658180000,0.650542118432,1419,0.604670558799,0.100000000000
22,train,0.699749791493,17.017826080000,0.712260216847,710,0.125104253545,0.100000000000
23,train,0.705671392827,17.697055817000,0.725604670559,849,0.199332777314,0.100000000000
24,validation,0.215346121768,1.987315178000,0.281901584654,1524,0.665554628857,0.100000000000
25,train,0.630442035029,13.904574394000,0.679733110926,1254,0.492910758966,0.100000000000
26,holdout,0.346455379483,2.850732803000,0.364470391993,812,0.180150125104,0.100000000000
27,holdout,0.654211843203,17.597688675000,0.724770642202,1570,0.705587989992,0.100000000000
28,train,0.414011676397,4.587226868000,0.472060050042,1377,0.580483736447,0.100000000000
29,train,0.132193494579,1.258495331000,0.165971643036,1064,0.337781484570,0.100000000000
30,holdout,0.336530442035,3.688482285000,0.425354462052,1946,0.888240200167,0.100000000000
31,train,0.308173477898,3.065904617000,0.377814845705,1565,0.696413678065,0.100000000000
32,train,0.391492910759,4.086518288000,0.450375312761,1386,0.588824020017,0.100000000000
33,holdout,0.768723936614,29.989208221000,0.829858215179,1431,0.611342785655,0.100000000000
