epoch,train_loss,validation_loss,validation_correlation
1,0.3929116725921631,0.304701566696167,-0.21345962584018707
2,0.31918826699256897,0.24964158236980438,-0.31093141436576843
3,0.26084473729133606,0.20658773183822632,-0.3272881805896759
4,0.21507519483566284,0.17150768637657166,-0.32259541749954224
5,0.17842452228069305,0.14215423166751862,-0.3071579933166504
6,0.14774371683597565,0.11733364313840866,-0.285089910030365
7,0.12181977182626724,0.09644122421741486,-0.2588515281677246
8,0.10022736340761185,0.0791511982679367,-0.22998462617397308
9,0.08234246075153351,0.06520046293735504,-0.19966265559196472
10,0.06763865053653717,0.054279059171676636,-0.16917987167835236
11,0.056052982807159424,0.04599931836128235,-0.13959500193595886
12,0.047277770936489105,0.03991774097084999,-0.11165647208690643
13,0.04065975174307823,0.035579897463321686,-0.08546297252178192
14,0.03581280633807182,0.03257305920124054,-0.06089488044381142
15,0.032351214438676834,0.030548177659511566,-0.03776691108942032
16,0.030033016577363014,0.029225774109363556,-0.0158510934561491
17,0.028342150151729584,0.028391744941473007,0.005069852340966463
18,0.027261745184659958,0.027888841927051544,0.025165041908621788
19,0.02654256299138069,0.027603499591350555,0.044590096920728683
20,0.026098286733031273,0.027456248179078102,0.06346172839403152
21,0.025812402367591858,0.02739206701517105,0.08188312500715256
22,0.02558474987745285,0.027373582124710083,0.09993920475244522
23,0.025474896654486656,0.02737550437450409,0.11770475655794144
24,0.025380536913871765,0.027381129562854767,0.13522566854953766
25,0.02530480921268463,0.027379263192415237,0.15254531800746918
26,0.02525988779962063,0.027362294495105743,0.1697111427783966
27,0.025162575766444206,0.02732483297586441,0.18676845729351044
28,0.025164861232042313,0.02726368047297001,0.20372384786605835
29,0.025062832981348038,0.027175748720765114,0.22061848640441895
30,0.024895815178751945,0.027058344334363937,0.23748502135276794
31,0.024823788553476334,0.02690925821661949,0.2543436884880066
32,0.024576460942626,0.026726191863417625,0.2712036371231079
33,0.024419084191322327,0.02650684490799904,0.28806835412979126
34,0.02423281967639923,0.02624923177063465,0.30490586161613464
35,0.023874366655945778,0.025949768722057343,0.3217322528362274
36,0.023640958592295647,0.025605689734220505,0.33851808309555054
37,0.0233219712972641,0.025214698165655136,0.35520192980766296
38,0.02300724945962429,0.024774985387921333,0.3716990351676941
39,0.022665055468678474,0.02428586408495903,0.3878965377807617
40,0.02203504554927349,0.023745672777295113,0.40373799204826355
41,0.021601513028144836,0.023154882714152336,0.4191344082355499
42,0.0209810771048069,0.02251620404422283,0.4339752793312073
43,0.020414384081959724,0.021834200248122215,0.44816914200782776
44,0.01973261684179306,0.021117888391017914,0.46161773800849915
45,0.019099341705441475,0.020381009206175804,0.47418007254600525
46,0.018498778343200684,0.019636353477835655,0.48582586646080017
47,0.01783314347267151,0.01890316978096962,0.4964738190174103
48,0.017248166725039482,0.018201366066932678,0.5060862898826599
49,0.016346529126167297,0.017549598589539528,0.5146389603614807
50,0.015960363671183586,0.016966575756669044,0.5221281051635742
51,0.015451237559318542,0.01646670512855053,0.5285532474517822
52,0.015085041522979736,0.01606145314872265,0.5339673757553101
53,0.014696418307721615,0.01575184240937233,0.5384656190872192
54,0.01455433014780283,0.015532884746789932,0.5421736240386963
55,0.014389978721737862,0.01539408229291439,0.5452115535736084
56,0.014317143708467484,0.01532067358493805,0.5477063655853271
57,0.014308488927781582,0.015295454300940037,0.5497627258300781
58,0.014328178949654102,0.01530107669532299,0.551464319229126
59,0.014408252201974392,0.01532141026109457,0.5529093742370605
60,0.014465712942183018,0.015343528240919113,0.554162859916687
61,0.014475114643573761,0.015357072465121746,0.5552794933319092
62,0.014601435512304306,0.015354677103459835,0.5563020706176758
63,0.01461816392838955,0.015333207324147224,0.5572634339332581
64,0.014567629434168339,0.0152922747656703,0.5581791996955872
65,0.014502346515655518,0.01523264404386282,0.5590597987174988
66,0.014538302086293697,0.015157600864768028,0.5599073171615601
67,0.014411641284823418,0.015071929432451725,0.5607066750526428
68,0.014209222048521042,0.014980779960751534,0.5614525079727173
69,0.014118190854787827,0.014888751320540905,0.5621484518051147
70,0.01399163156747818,0.014801088720560074,0.5627756118774414
71,0.013890409842133522,0.01472233422100544,0.5633182525634766
72,0.013822832144796848,0.014655605889856815,0.5637602210044861
73,0.013745744712650776,0.014602944254875183,0.5640967488288879
74,0.013608911074697971,0.014564980752766132,0.5643197298049927
75,0.01353694312274456,0.014541907235980034,0.5644320845603943
76,0.013509423471987247,0.014531374908983707,0.5644795894622803
77,0.013476796448230743,0.014529999345541,0.5644913911819458
78,0.013400821946561337,0.014534072950482368,0.5645143389701843
79,0.013441874645650387,0.014540172182023525,0.5645784139633179
