method,region_id,seed_node,seed_score,node_count,boundary_count
random_bfs_seed1,23,5779307499,0.0040429,512,21
random_bfs_seed1,24,8422771548,0.02118023,512,24
random_bfs_seed1,25,444017059,0.07014816,512,38
random_bfs_seed1,26,9792830915,0.0180176,512,20
random_bfs_seed1,27,1520364520,0.01592724,512,28
random_bfs_seed1,28,1238429273,0.01894929,512,21
random_bfs_seed1,29,1731170613,0.01373994,512,23
random_bfs_seed1,30,12073172421,0.00557153,512,22
random_bfs_seed1,31,8498948385,0.01036464,512,17
random_bfs_seed1,32,1320273838,0.01531002,512,21
random_bfs_seed1,33,4614461155,0.00324967,512,30
random_bfs_seed1,34,1025567991,0.00643981,512,28
random_bfs_seed1,35,3521762450,0.01687468,512,26
random_bfs_seed1,36,1321499630,0.00262928,512,33
random_bfs_seed1,37,112627999,0.08970667,512,55
random_bfs_seed1,38,2854226039,0.01332193,512,26
random_bfs_seed1,39,1561603424,0.10760623,512,22
random_bfs_seed1,40,12488699269,0.0077895,512,29
random_bfs_seed1,41,4526688728,0.07974856,512,53
random_bfs_seed1,42,5476877558,0.01740974,512,34
random_bfs_seed1,43,1394102823,0.04134859,512,29
random_bfs_seed1,44,6381469165,0.00255678,512,22
random_bfs_seed1,45,430262179,0.01332369,512,22
random_bfs_seed1,46,8464281851,0.02658363,512,29
random_bfs_seed1,47,478646113,0.02049049,512,22
random_bfs_seed1,48,9804472090,0.00308446,512,29
random_bfs_seed1,49,8344748659,0.01235764,512,23
random_bfs_seed1,50,5971114331,0.06746022,512,37
random_bfs_seed1,51,4561990321,0.00120589,512,28
random_bfs_seed1,52,1440893704,0.00908824,512,13
random_bfs_seed1,53,1838975267,0.04091679,512,39
random_bfs_seed1,54,10858797186,0.11245827,512,46
random_bfs_seed1,55,672695952,0.00040541,512,24
random_bfs_seed1,56,6775606781,0.00111797,512,28
random_bfs_seed1,57,4541769840,0.00021234,512,28
random_bfs_seed1,58,11967516230,0.00160737,512,33
random_bfs_seed1,59,3921306610,0.03397405,512,28
random_bfs_seed1,60,480476953,0.06766502,512,29
random_bfs_seed1,61,1322924639,0.05195571,512,26
random_bfs_seed1,62,1556195631,0.00051896,512,13
random_bfs_seed1,63,3714381679,0.0523377,512,17
random_bfs_seed1,64,1323016172,0.00964477,512,15
random_bfs_seed1,65,3663136793,0.00872352,512,22
random_bfs_seed1,66,1549688851,0.00187841,512,34
random_bfs_seed1,67,1587152724,0.00026198,512,19
random_bfs_seed1,68,1437886848,0.03277351,512,27
random_bfs_seed1,69,1163402755,0.02626341,512,37
random_bfs_seed1,70,1392657767,0.00174307,512,13
random_bfs_seed1,71,1518689117,0.00145895,512,20
random_bfs_seed1,72,4763652019,0.01306373,512,24
random_bfs_seed1,73,12055134993,0.00179218,512,26
random_bfs_seed1,74,488593397,0.02439681,512,30
random_bfs_seed1,75,12749137308,0.02180065,512,25
random_bfs_seed1,76,278405391,0.00718192,512,30
random_bfs_seed1,77,13041482361,0.00053873,512,17
random_bfs_seed1,78,13413951551,0.04529633,512,29
random_bfs_seed1,79,13322186975,0.11549387,512,48
random_bfs_seed1,80,4601354299,0.00424141,512,31
random_bfs_seed1,81,4421109827,0.00655876,512,21
random_bfs_seed1,82,9364124514,0.10826027,512,25
random_bfs_seed1,83,1548074427,0.00829718,512,24
random_bfs_seed1,84,5275775533,0.04974095,512,25
random_bfs_seed1,85,5586239798,0.02400296,512,30
random_bfs_seed1,86,295232548,0.01543084,512,30
random_bfs_seed1,87,1395617211,0.03456541,512,17
random_bfs_seed1,88,1518839266,0.00505934,512,33
random_bfs_seed1,89,1558685413,0.00268097,512,14
random_bfs_seed1,90,13387171833,0.00107389,512,20
random_bfs_seed1,91,1725591044,0.02806874,512,15
random_bfs_seed1,92,10717198182,0.0081557,512,31
random_bfs_seed1,93,13296923654,0.00402842,512,28
random_bfs_seed1,94,1731169432,0.02809026,512,31
random_bfs_seed1,95,4677584371,0.00938584,512,27
random_bfs_seed1,96,6558205278,0.00079208,512,26
random_bfs_seed1,97,1262328889,0.05443827,512,18
random_bfs_seed1,98,5777961759,0.12530474,512,26
random_bfs_seed1,99,12453310091,0.01916738,512,29
random_bfs_seed2,0,1561603787,0.04202024,512,44
random_bfs_seed2,1,421412321,0.03571409,512,33
random_bfs_seed2,2,3146483774,0.00213097,512,24
random_bfs_seed2,3,6223715987,0.27184543,512,31
random_bfs_seed2,4,2178773774,0.00328498,512,19
random_bfs_seed2,5,6380903776,0.00489876,512,32
random_bfs_seed2,6,1866964760,0.07177281,512,23
random_bfs_seed2,7,1145563755,0.11328005,512,34
random_bfs_seed2,8,1323016072,0.00693421,512,16
random_bfs_seed2,9,1113220325,0.0046234,512,33
random_bfs_seed2,10,1548057534,0.04074513,512,38
random_bfs_seed2,11,12132394152,0.04232705,512,40
random_bfs_seed2,12,10885546580,0.00510584,512,21
random_bfs_seed2,13,6056394004,0.02148467,512,27
random_bfs_seed2,14,4537308587,0.00825962,512,31
random_bfs_seed2,15,4473312164,0.09375261,512,42
random_bfs_seed2,16,1328040267,0.01233954,512,21
random_bfs_seed2,17,445053770,0.02968437,512,22
random_bfs_seed2,18,1587160361,0.00119442,512,19
random_bfs_seed2,19,479512738,0.09901059,512,18
random_bfs_seed2,20,25507490,0.00631605,512,26
random_bfs_seed2,21,11362440029,0.00679404,512,22
random_bfs_seed2,22,281726453,0.07427458,512,38
random_bfs_seed2,23,1190291376,0.00456327,512,14
random_bfs_seed2,24,9382314688,0.09282023,512,41
random_bfs_seed2,25,634123954,0.01256232,512,22
random_bfs_seed2,26,3713963400,0.05659932,512,35
random_bfs_seed2,27,4750891544,0.00077138,512,12
random_bfs_seed2,28,3679308982,0.00605237,512,25
random_bfs_seed2,29,3334199596,0.01458908,512,35
random_bfs_seed2,30,1199517048,0.00414631,512,29
random_bfs_seed2,31,1143316540,0.04074304,512,33
random_bfs_seed2,32,1143318414,0.04170202,512,33
random_bfs_seed2,33,4722452842,0.000881,512,35
random_bfs_seed2,34,12484917752,0.00220661,512,27
random_bfs_seed2,35,8476567647,0.00427375,512,27
random_bfs_seed2,36,13032329374,0.00263781,512,22
random_bfs_seed2,37,5239695605,0.04922229,512,18
random_bfs_seed2,38,280260042,0.0691546,512,27
random_bfs_seed2,39,1645720482,0.01323614,512,28
random_bfs_seed2,40,7975015150,0.02235196,512,20
