epoch,train_loss,train_huber,train_rank,train_full_pairwise_loss,train_pairwise_accuracy,train_pre_step_prediction_mean,train_pre_step_prediction_std,train_pre_step_prediction_min,train_pre_step_prediction_max,validation_loss,validation_huber,validation_rank,validation_pairwise_accuracy,validation_spearman,validation_post_step_prediction_mean,validation_post_step_prediction_std,validation_post_step_prediction_min,validation_post_step_prediction_max,scaler_scale_before,scaler_scale_after,optimizer_state_step_before,optimizer_state_step_after,optimizer_step_skipped,optimizer_step_effective,gradient_norm_before_clip,gradient_norm_after_clip,parameter_delta_norm,learning_rate,trainable_scope,trainable_parameter_count
0,0.483081191778183,0.10394251346588135,nan,0.483081191778183,0.8903301954269409,-1.248859238245359e-08,1.0,-0.5466911792755127,5.756088733673096,0.47672224044799805,0.10937734693288803,0.47672224044799805,0.8988826870918274,0.9410928320832948,0.04836907982826233,1.114495038986206,-0.5396414995193481,5.383940696716309,1.0,1.0,0,0,0,0,nan,nan,0.0,0.005,output_head,33
1,0.483081191778183,-0.0,0.483081191778183,0.483081191778183,0.8903301954269409,-1.248859238245359e-08,1.0,-0.5466911792755127,5.756088733673096,0.476645827293396,0.10942011326551437,0.476645827293396,0.8988826870918274,0.9410928320832948,0.047799281775951385,1.1152093410491943,-0.5406166911125183,5.386721611022949,1.0,1.0,0,1,0,1,0.004171337466686964,0.004171337466686964,0.024956094101071358,0.005,output_head,33
2,0.4829972982406616,-0.0,0.4829972982406616,0.4829972982406616,0.8903074860572815,-0.0005928652826696634,1.0006369352340698,-0.5476715564727783,5.7587409019470215,0.4765694737434387,0.10946401953697205,0.4765694737434387,0.8987585306167603,0.9410475631963949,0.04719094932079315,1.115923523902893,-0.5416303873062134,5.389463901519775,1.0,1.0,1,2,0,1,0.004168795887380838,0.004168795887380838,0.02495669387280941,0.005,output_head,33
3,0.48291343450546265,-0.0,0.48291343450546265,0.48291343450546265,0.8903160095214844,-0.0012242442462593317,1.0012739896774292,-0.5486904978752136,5.761354923248291,0.47649314999580383,0.10950444638729095,0.47649314999580383,0.8987585306167603,0.9410475631963949,0.046895623207092285,1.1166375875473022,-0.5423310399055481,5.392518997192383,1.0,1.0,2,3,0,1,0.004166256636381149,0.004166256636381149,0.024947235360741615,0.005,output_head,33
4,0.48282960057258606,-0.0,0.48282960057258606,0.48282960057258606,0.8903160095214844,-0.0015426011523231864,1.0019110441207886,-0.5493963360786438,5.764281749725342,0.47641685605049133,0.10954514145851135,0.47641685605049133,0.8988205790519714,0.9411463316769036,0.0466080978512764,1.117351770401001,-0.543023943901062,5.3955817222595215,1.0,1.0,3,4,0,1,0.004163720179349184,0.004163720179349184,0.024945618584752083,0.005,output_head,33
5,0.48274579644203186,-0.0,0.48274579644203186,0.48274579644203186,0.8903188705444336,-0.0018532027024775743,1.0025479793548584,-0.550094485282898,5.767215728759766,0.4763406217098236,0.10958561301231384,0.4763406217098236,0.8988205790519714,0.9411463316769036,0.04636351764202118,1.1180658340454102,-0.5436738133430481,5.398687362670898,1.0,1.0,4,5,0,1,0.004161185584962368,0.004161185584962368,0.024942919611930847,0.005,output_head,33
6,0.4826621115207672,-0.0,0.4826621115207672,0.4826621115207672,0.8903245329856873,-0.002120819641277194,1.0031849145889282,-0.5507495403289795,5.770193099975586,0.47626450657844543,0.10962887108325958,0.47626450657844543,0.8988205790519714,0.9411463316769036,0.04594782739877701,1.1187798976898193,-0.5444948077201843,5.401621341705322,1.0,1.0,5,6,0,1,0.0041586533188819885,0.0041586533188819885,0.02494441717863083,0.005,output_head,33
7,0.48257842659950256,-0.0,0.48257842659950256,0.48257842659950256,0.8903160095214844,-0.0025595417246222496,1.003821849822998,-0.5515757203102112,5.772998809814453,0.4761883616447449,0.10967472940683365,0.4761883616447449,0.8987585306167603,0.9410022943094951,0.045391328632831573,1.119493842124939,-0.5454565286636353,5.404414653778076,1.0,1.0,6,7,0,1,0.004156123381108046,0.004156123381108046,0.024945732206106186,0.005,output_head,33
8,0.4824948012828827,-0.0,0.4824948012828827,0.4824948012828827,0.890304684638977,-0.0031390804797410965,1.0044587850570679,-0.5525427460670471,5.775663375854492,0.4761122763156891,0.10971599072217941,0.4761122763156891,0.8987585306167603,0.9410022943094951,0.04517144337296486,1.1202077865600586,-0.5460816621780396,5.407544136047363,1.0,1.0,7,8,0,1,0.004153595771640539,0.004153595771640539,0.024934491142630577,0.005,output_head,33
9,0.48241126537323,-0.0,0.48241126537323,0.48241126537323,0.8902989625930786,-0.003382018767297268,1.0050956010818481,-0.5531730651855469,5.778664588928223,0.4744430482387543,0.11038704961538315,0.4744430482387543,0.898510217666626,0.940767719168287,0.05067320913076401,1.135170340538025,-0.5494294166564941,5.480034351348877,1.0,1.0,8,9,0,1,0.007560268975794315,0.007560268975794315,0.7179805040359497,0.005,all,418183
10,0.48062044382095337,0.0,0.48062044382095337,0.48062044382095337,0.890293300151825,0.0015103488694876432,1.0183759927749634,-0.5566443800926208,5.848920822143555,0.47179844975471497,0.11178167164325714,0.47179844975471497,0.8988826870918274,0.9408706030021503,0.0614100843667984,1.1596055030822754,-0.5530571341514587,5.601100444793701,1.0,1.0,9,10,0,1,0.015684768557548523,0.015684768557548523,0.6336453557014465,0.005,all,418183
11,0.4777737855911255,0.0,0.4777737855911255,0.4777737855911255,0.8903358578681946,0.011267783120274544,1.0400326251983643,-0.5604918003082275,5.966677188873291,0.46758151054382324,0.114872045814991,0.46758151054382324,0.8988826870918274,0.9410146403695587,0.0803389698266983,1.1999316215515137,-0.5577578544616699,5.802494049072266,1.0,1.0,10,11,0,1,0.028801891952753067,0.028801891952753067,0.6883523464202881,0.005,all,418183
12,0.4732365012168884,0.0,0.4732365012168884,0.4732365012168884,0.8903301954269409,0.028549879789352417,1.0756558179855347,-0.5655623078346252,6.162136554718018,0.4613058865070343,0.12164761871099472,0.4613058865070343,0.8993792533874512,0.9416628085228967,0.1119706779718399,1.262846827507019,-0.5628920197486877,6.118886947631836,1.0,1.0,11,12,0,1,0.047337666153907776,0.047337666153907776,0.8043531179428101,0.005,all,418183
13,0.46648749709129333,0.0,0.46648749709129333,0.46648749709129333,0.8903330564498901,0.05760056897997856,1.1311578750610352,-0.5712772607803345,6.4695725440979,0.45242929458618164,0.1361863762140274,0.45242929458618164,0.8999379277229309,0.9421648816321492,0.1627914011478424,1.3580529689788818,-0.5674950480461121,6.599612712860107,1.0,1.0,12,13,0,1,0.07138640433549881,0.07138640433549881,0.9599217176437378,0.005,all,418183
14,0.45695772767066956,0.0,0.45695772767066956,0.45695772767066956,0.8901769518852234,0.10454767942428589,1.215212345123291,-0.5767549276351929,6.939525127410889,0.4404304623603821,0.16618892550468445,0.4404304623603821,0.9008690118789673,0.9428109921088099,0.24015384912490845,1.4991134405136108,-0.5720016956329346,7.310809135437012,1.0,1.0,13,14,0,1,0.10033278167247772,0.10033278167247772,1.1416053771972656,0.005,all,418183
15,0.44413256645202637,0.0,0.44413256645202637,0.44413256645202637,0.890154242515564,0.1762278974056244,1.3399322032928467,-0.5825503468513489,7.640570640563965,0.4249586760997772,0.2233092039823532,0.4249586760997772,0.9013656377792358,0.9429262220027367,0.3558257222175598,1.7050098180770874,-0.5754579305648804,8.348384857177734,1.0,1.0,14,15,0,1,0.13200446963310242,0.13200446963310242,1.3344755172729492,0.005,all,418183
16,0.4277415871620178,0.0,0.4277415871620178,0.4277415871620178,0.8900322318077087,0.28377002477645874,1.5224584341049194,-0.587891697883606,8.675741195678711,0.40595847368240356,0.3272189497947693,0.40595847368240356,0.9013035297393799,0.9425393787874111,0.5255222320556641,2.003192663192749,-0.5775336027145386,9.853622436523438,1.0,1.0,15,16,0,1,0.16252420842647552,0.16252420842647552,1.5256673097610474,0.005,all,418183
17,0.40794825553894043,0.0,0.40794825553894043,0.40794825553894043,0.889773964881897,0.44184887409210205,1.7871736288070679,-0.5927847027778625,10.190950393676758,0.3839363157749176,0.5023970603942871,0.3839363157749176,0.9015518426895142,0.9431175859337222,0.7698093056678772,2.431110143661499,-0.5783481001853943,12.057607650756836,1.0,1.0,16,17,0,1,0.18642334640026093,0.18642334640026093,1.6796482801437378,0.005,all,418183
18,0.3856259286403656,0.0,0.3856259286403656,0.3856259286403656,0.8896632790565491,0.6695723533630371,2.1670022010803223,-0.5982987284660339,12.379301071166992,0.360315203666687,0.8067421913146973,0.360315203666687,0.9011173248291016,0.9426484356513061,1.1708422899246216,3.0353541374206543,-0.5204704403877258,15.298723220825195,1.0,1.0,17,18,0,1,0.1977642923593521,0.1977642923593521,1.7705038785934448,0.005,all,418183
