method,train_query_count,evaluation_split,evaluation_query_count,region_count,region_size,shortcut_count,internal_node_count,compressed_node_count,compressed_edge_count,fallback_query_count,fallback_rate_pct,preprocessing_seconds,evaluation_wall_seconds,baseline_avg_ms,indexed_avg_ms,elapsed_change_pct,baseline_p95_ms,indexed_p95_ms,p95_change_pct,baseline_avg_expanded,indexed_avg_expanded,expanded_change_pct,faster_query_rate_pct,correctness_rate
random_bfs_seed1,68657,validation,14712,100,512,40968,48445,85394,177781,8221,55.87955410549211,1.4706435520201921,40.4015473528998,12.32276650610235,11.239704962990988,-8.789110323359782,55.35532819922082,49.502647982444635,-10.572930207752918,10296.482803153887,8807.95554649266,-14.456657531689176,57.75557368134856,1
random_bfs_seed2,68657,validation,14712,100,512,38657,48415,85424,177957,7500,50.97879282218597,2.0437007329892367,41.43278992502019,12.437051220996029,11.17148497929711,-10.175774138184856,55.51949940272608,49.506385286804296,-10.830634606958533,10296.482803153887,8648.912996193583,-16.00128741491844,62.53398586188146,1
random_bfs_seed3,68657,validation,14712,100,512,37261,48442,85397,175160,8964,60.92985318107667,1.6148992499802262,41.23817103204783,12.392488543803603,11.300255128681872,-8.813672986349951,55.585529358359096,49.330600048415384,-11.25280155131433,10296.482803153887,8796.263594344753,-14.570210405728123,61.629961935834686,1
random_bfs_seed4,68657,validation,14712,100,512,39745,48431,85408,178142,8307,56.464110929853184,2.004626207984984,40.89810298697557,12.504390065174382,11.366598394084336,-9.099137704116222,56.292874889913975,49.09873484866695,-12.7798412415707,10296.482803153887,8781.995921696574,-14.708778817106506,61.50081566068516,1
random_bfs_seed5,68657,validation,14712,100,512,36562,48528,85311,174887,6727,45.72457857531267,2.0192015368957072,40.346680150949396,12.496528733490239,10.994908038582544,-12.01630250233736,55.84120727144186,48.306289286119906,-13.493472568913168,10296.482803153887,8466.07803153888,-17.776990518105272,59.862697117998906,1
od_hotspot_bfs,68657,validation,14712,100,512,47550,48192,85647,186857,11484,78.05872756933115,6.3381664720363915,40.00387535896152,12.149215590644234,11.922513666931353,-1.8659799229133522,54.02814253466213,52.45767469750723,-2.9067588917152887,10296.482803153887,9690.646547036433,-5.883914611423258,52.412996193583474,1
