method,query_count,region_count,shortcut_count,compressed_node_count,compressed_edge_count,fallback_query_count,fallback_rate_pct,endpoint_access_query_count,endpoint_access_rate_pct,endpoint_cache_capacity,endpoint_cache_hits,endpoint_cache_misses,endpoint_cache_hit_rate_pct,preprocessing_seconds,baseline_avg_ms,indexed_avg_ms,elapsed_change_pct,baseline_p95_ms,indexed_p95_ms,p95_change_pct,baseline_avg_expanded,indexed_avg_expanded,indexed_avg_access_expanded,indexed_avg_graph_expanded,expanded_change_pct,faster_query_rate_pct,median_delta_ms,correctness_rate
random_bfs,98082,100,40968,85394,177781,0,0.000000,54712,55.781897,0,0,0,0.000000,1.070144,13.191673,9.888660,-25.038623,59.139785,42.315140,-28.448945,10741.695153,7271.858955,230.025968,7041.824555,-32.302501,72.906344,-0.602150,1.000000
od_hotspot_bfs,98082,100,45824,85615,185301,0,0.000000,77464,78.978814,0,0,0,0.000000,4.765839,13.193302,9.736359,-26.202253,59.311560,42.869860,-27.720903,10741.695153,6927.672101,339.931965,6587.731704,-35.506715,75.558206,-0.810050,1.000000
