method,query_count,region_count,shortcut_count,compressed_node_count,compressed_edge_count,fallback_query_count,fallback_rate_pct,endpoint_access_query_count,endpoint_access_rate_pct,endpoint_cache_capacity,endpoint_cache_hits,endpoint_cache_misses,endpoint_cache_hit_rate_pct,preprocessing_seconds,baseline_avg_ms,indexed_avg_ms,elapsed_change_pct,baseline_p95_ms,indexed_p95_ms,p95_change_pct,baseline_avg_expanded,indexed_avg_expanded,indexed_avg_access_expanded,indexed_avg_graph_expanded,expanded_change_pct,faster_query_rate_pct,median_delta_ms,correctness_rate
random_bfs,98082,100,40968,85394,177781,0,0.000000,54712,55.781897,4096,34522,30780,52.865150,1.042597,13.500414,9.972307,-26.133319,60.508275,43.209945,-28.588371,10741.695153,7162.020962,120.187975,7041.824555,-33.325040,78.006158,-0.731800,1.000000
od_hotspot_bfs,98082,100,45824,85615,185301,0,0.000000,77464,78.978814,4096,65885,39697,62.401735,4.700674,13.674323,9.841436,-28.029811,61.692895,44.062115,-28.578299,10741.695153,6728.917916,141.177780,6587.731704,-37.357020,85.092066,-1.067350,1.000000
