epoch,train_loss,train_huber,train_rank,train_full_pairwise_loss,train_pairwise_accuracy,train_pre_step_prediction_mean,train_pre_step_prediction_std,train_pre_step_prediction_min,train_pre_step_prediction_max,validation_loss,validation_huber,validation_rank,validation_pairwise_accuracy,validation_spearman,validation_post_step_prediction_mean,validation_post_step_prediction_std,validation_post_step_prediction_min,validation_post_step_prediction_max,scaler_scale_before,scaler_scale_after,optimizer_state_step_before,optimizer_state_step_after,optimizer_step_skipped,optimizer_step_effective,gradient_norm_before_clip,gradient_norm_after_clip,parameter_delta_norm,learning_rate
0,0.5190423727035522,0.38118255138397217,nan,0.6892990469932556,0.8984096646308899,-0.062401726841926575,0.008809167891740799,-0.06849608570337296,-0.024968817830085754,0.5424109101295471,0.40458425879478455,0.6891331672668457,0.9002482891082764,0.9458630131913828,-0.062090590596199036,0.009082689881324768,-0.0684203952550888,-0.026692159473896027,1.0,1.0,0,0,0,0,nan,nan,0.0,0.001
1,0.5189567804336548,0.38118255138397217,0.6888712644577026,0.6892990469932556,0.8984096646308899,-0.062401726841926575,0.008809167891740799,-0.06849608570337296,-0.024968817830085754,0.5424109101295471,0.40458425879478455,0.6891331672668457,0.9002482891082764,0.9458630131913828,-0.062090594321489334,0.009082687087357044,-0.0684203952550888,-0.026692166924476624,1.0,1.0,0,1,0,1,inf,0.0,8.701732440385967e-06,0.001
2,0.5190847516059875,0.38118255138397217,0.6895109415054321,0.6892990469932556,0.8984096646308899,-0.06240171939134598,0.00880916602909565,-0.06849608570337296,-0.024968838319182396,0.5424109101295471,0.40458425879478455,0.6891331672668457,0.9002482891082764,0.9458975071247055,-0.062090590596199036,0.009082681499421597,-0.06842038780450821,-0.02669217623770237,1.0,1.0,1,2,0,1,inf,0.0,8.701732440385967e-06,0.001
3,0.5190557241439819,0.38118258118629456,0.689365565776825,0.6892990469932556,0.8984096646308899,-0.06240171939134598,0.008809160441160202,-0.06849607825279236,-0.024968840181827545,0.5424109101295471,0.40458425879478455,0.6891331672668457,0.9002482891082764,0.9458975071247055,-0.06209058314561844,0.009082678705453873,-0.06842038035392761,-0.02669219672679901,1.0,1.0,2,3,0,1,inf,0.0,8.701732440385967e-06,0.001
4,0.5190659165382385,0.38118258118629456,0.6894165873527527,0.6892990469932556,0.8984096646308899,-0.06240171566605568,0.008809158578515053,-0.06849607080221176,-0.02496885322034359,0.5424109101295471,0.40458425879478455,0.6891331672668457,0.9002482891082764,0.9458975071247055,-0.06209057942032814,0.009082674048841,-0.06842036545276642,-0.026692194864153862,1.0,1.0,3,4,0,1,inf,0.0,8.701732440385967e-06,0.001
5,0.5190328359603882,0.38118258118629456,0.6892512440681458,0.6892990469932556,0.8984096646308899,-0.06240171194076538,0.008809151127934456,-0.06849605590105057,-0.02496887557208538,0.5424109101295471,0.40458425879478455,0.6891331672668457,0.9002482891082764,0.9458630131913828,-0.06209057196974754,0.009082668460905552,-0.06842035800218582,-0.026692213490605354,1.0,1.0,4,5,0,1,inf,0.0,8.701732440385967e-06,0.001
6,0.5190401077270508,0.38118258118629456,0.6892877817153931,0.6892990469932556,0.8984096646308899,-0.062401700764894485,0.008809147402644157,-0.06849604099988937,-0.024968884885311127,0.5424109101295471,0.40458425879478455,0.6891331672668457,0.9002482891082764,0.9458630131913828,-0.062090568244457245,0.009082663804292679,-0.06842035055160522,-0.026692217215895653,1.0,1.0,5,6,0,1,inf,0.0,8.701732440385967e-06,0.001
7,0.5190390944480896,0.38118258118629456,0.6892824769020081,0.6892990469932556,0.8984096646308899,-0.06240169331431389,0.008809142746031284,-0.06849604099988937,-0.024968890473246574,0.5424109101295471,0.40458425879478455,0.6891331672668457,0.9002482891082764,0.9458630131913828,-0.062090568244457245,0.00908266007900238,-0.06842034310102463,-0.0266922265291214,1.0,1.0,6,7,0,1,inf,0.0,8.701732440385967e-06,0.001
8,0.5190623998641968,0.38118258118629456,0.6893990635871887,0.6892990469932556,0.8984096646308899,-0.06240169331431389,0.00880913995206356,-0.06849603354930878,-0.02496890351176262,0.5424109101295471,0.40458425879478455,0.6891331672668457,0.9002482891082764,0.9458630131913828,-0.062090568244457245,0.009082657285034657,-0.06842034310102463,-0.026692233979701996,1.0,1.0,7,8,0,1,inf,0.0,8.701732440385967e-06,0.001
9,0.5190131664276123,0.38118258118629456,0.6891528367996216,0.6892990469932556,0.8984096646308899,-0.06240168213844299,0.008809136226773262,-0.06849602609872818,-0.024968914687633514,0.5424109101295471,0.40458425879478455,0.6891331672668457,0.9002482891082764,0.9458630131913828,-0.06209055706858635,0.009082654491066933,-0.06842033565044403,-0.02669224515557289,1.0,1.0,8,9,0,1,inf,0.0,8.701732440385967e-06,0.001
