epoch,train_loss,train_huber,train_rank,train_full_pairwise_loss,train_pairwise_accuracy,train_pre_step_prediction_mean,train_pre_step_prediction_std,train_pre_step_prediction_min,train_pre_step_prediction_max,validation_loss,validation_huber,validation_rank,validation_pairwise_accuracy,validation_spearman,validation_post_step_prediction_mean,validation_post_step_prediction_std,validation_post_step_prediction_min,validation_post_step_prediction_max,scaler_scale_before,scaler_scale_after,optimizer_state_step_before,optimizer_state_step_after,optimizer_step_skipped,optimizer_step_effective,gradient_norm_before_clip,gradient_norm_after_clip,parameter_delta_norm,learning_rate,next_learning_rate,trainable_scope,trainable_parameter_count
0,0.483081191778183,0.10394251346588135,nan,0.483081191778183,0.8903301954269409,-1.248859238245359e-08,1.0,-0.5466911792755127,5.756088733673096,0.47672224044799805,0.10937734693288803,0.47672224044799805,0.8988826870918274,0.9410928320832948,0.04836907982826233,1.114495038986206,-0.5396414995193481,5.383940696716309,1.0,1.0,0,0,0,0,nan,nan,0.0,0.005,0.005,output_head,33
1,0.483081191778183,-0.0,0.483081191778183,0.483081191778183,0.8903301954269409,-1.248859238245359e-08,1.0,-0.5466911792755127,5.756088733673096,0.4766608774662018,0.10939743369817734,0.4766608774662018,0.8988205790519714,0.9410660822864904,0.04906437173485756,1.1150591373443604,-0.5392817854881287,5.387115001678467,1.0,1.0,0,1,0,1,0.003929126542061567,0.003929126542061567,0.026447853073477745,0.005,0.005,output_head,33
2,0.4830131530761719,0.0,0.4830131530761719,0.4830131530761719,0.8903103470802307,0.0006760813412256539,1.000494122505188,-0.5463402271270752,5.759255886077881,0.4765996038913727,0.10941234230995178,0.4765996038913727,0.8988205790519714,0.9410660822864904,0.050319354981184006,1.1156232357025146,-0.5383623838424683,5.390848636627197,1.0,1.0,1,2,0,1,0.003927245270460844,0.003927245270460844,0.026436839252710342,0.005,0.005,output_head,33
3,0.4829452335834503,0.0,0.4829452335834503,0.4829452335834503,0.8903103470802307,0.0019118672935292125,1.0009883642196655,-0.5454296469688416,5.762982368469238,0.4765383303165436,0.10942794382572174,0.4765383303165436,0.8987585306167603,0.9410475631963949,0.05166321620345116,1.116187334060669,-0.537354052066803,5.3946709632873535,1.0,1.0,2,3,0,1,0.003925363998860121,0.003925363998860121,0.02643553912639618,0.005,0.005,output_head,33
4,0.48287731409072876,0.0,0.48287731409072876,0.48287731409072876,0.890304684638977,0.0032365324441343546,1.001482605934143,-0.544430136680603,5.7667975425720215,0.47647708654403687,0.10944582521915436,0.47647708654403687,0.8987585306167603,0.9410475631963949,0.052925534546375275,1.1167513132095337,-0.5364273190498352,5.398412227630615,1.0,1.0,3,4,0,1,0.003923484124243259,0.003923484124243259,0.026435082778334618,0.005,0.005,output_head,33
5,0.4828094244003296,0.0,0.4828094244003296,0.4828094244003296,0.8902989625930786,0.004479644354432821,1.0019768476486206,-0.5435121655464172,5.770531177520752,0.4764159023761749,0.10946526378393173,0.4764159023761749,0.8987585306167603,0.9410475631963949,0.05417441576719284,1.1173152923583984,-0.5355139970779419,5.402139663696289,1.0,1.0,4,5,0,1,0.003921606112271547,0.003921606112271547,0.026433933526277542,0.005,0.005,output_head,33
6,0.4827415645122528,0.0,0.4827415645122528,0.4827415645122528,0.890304684638977,0.005709329154342413,1.0024710893630981,-0.5426076054573059,5.774251461029053,0.4763546884059906,0.10948657989501953,0.4763546884059906,0.8988205790519714,0.9411154665267446,0.05534842237830162,1.1178792715072632,-0.5346755385398865,5.405792236328125,1.0,1.0,5,6,0,1,0.0039197285659611225,0.0039197285659611225,0.026433143764734268,0.005,0.005,output_head,33
7,0.4826737344264984,0.0,0.4826737344264984,0.4826737344264984,0.8902876377105713,0.006864145863801241,1.0029652118682861,-0.5417779088020325,5.777896881103516,0.47629356384277344,0.10950902849435806,0.47629356384277344,0.8988205790519714,0.9411154665267446,0.056553374975919724,1.118443250656128,-0.5338060855865479,5.409475326538086,1.0,1.0,6,7,0,1,0.0039178538136184216,0.0039178538136184216,0.0264310073107481,0.005,0.005,output_head,33
8,0.4826059341430664,0.0,0.4826059341430664,0.4826059341430664,0.890304684638977,0.008049899712204933,1.0034593343734741,-0.5409172773361206,5.7815728187561035,0.47623246908187866,0.10953224450349808,0.47623246908187866,0.8988205790519714,0.9411154665267446,0.057945847511291504,1.1190072298049927,-0.5327491164207458,5.413345813751221,1.0,1.0,7,8,0,1,0.003915979992598295,0.003915979992598295,0.02642768807709217,0.005,0.005,output_head,33
9,0.4825381636619568,0.0,0.4825381636619568,0.4825381636619568,0.8903188705444336,0.009423166513442993,1.0039533376693726,-0.5398690700531006,5.785436153411865,0.474361777305603,0.11030678451061249,0.474361777305603,0.8986343741416931,0.9408850067388911,0.06742344796657562,1.1356858015060425,-0.5332463383674622,5.496849060058594,1.0,1.0,8,9,0,1,0.0073624663054943085,0.0073624663054943085,0.6740952730178833,0.005,0.005,all,418183
10,0.48052045702934265,0.0,0.48052045702934265,0.48052045702934265,0.8903898000717163,0.018298011273145676,1.018922209739685,-0.5405411720275879,5.869787693023682,0.4712522029876709,0.11203863471746445,0.4712522029876709,0.8986964821815491,0.9409241025957591,0.08375893533229828,1.16396963596344,-0.5337572693824768,5.638522148132324,1.0,1.0,9,10,0,1,0.017511704936623573,0.017511704936623573,0.6194546818733215,0.005,0.005,all,418183
11,0.4771621823310852,0.0,0.4771621823310852,0.4771621823310852,0.8903642296791077,0.03366056829690933,1.044472098350525,-0.5413193702697754,6.015317440032959,0.46614977717399597,0.11615657061338425,0.46614977717399597,0.8991310000419617,0.9414961367120385,0.11129312962293625,1.211625576019287,-0.5346729159355164,5.875575542449951,1.0,1.0,10,11,0,1,0.03256533294916153,0.03256533294916153,0.6901653409004211,0.005,0.005,all,418183
12,0.4716640114784241,0.0,0.4716640114784241,0.4716640114784241,0.8903273344039917,0.059557799249887466,1.0876636505126953,-0.5427093505859375,6.259765625,0.4585392475128174,0.12569664418697357,0.4585392475128174,0.8996896147727966,0.942210150519049,0.15547357499599457,1.286541223526001,-0.5350534319877625,6.249976634979248,1.0,1.0,11,12,0,1,0.053081341087818146,0.053081341087818146,0.8166190981864929,0.005,0.005,all,418183
13,0.4634782373905182,0.0,0.4634782373905182,0.4634782373905182,0.8903529047966003,0.10123151540756226,1.1557774543762207,-0.5438407063484192,6.64666748046875,0.4478132426738739,0.14714454114437103,0.4478132426738739,0.8995034098625183,0.942187516075599,0.22378018498420715,1.4015182256698608,-0.5345714092254639,6.828357696533203,1.0,1.0,12,13,0,1,0.07912440598011017,0.07912440598011017,0.97918701171875,0.005,0.005,all,418183
14,0.45197173953056335,0.0,0.45197173953056335,0.45197173953056335,0.8904352188110352,0.16577032208442688,1.260435938835144,-0.544486939907074,7.246338367462158,0.4334010183811188,0.19180139899253845,0.4334010183811188,0.9004344940185547,0.942492052223834,0.3276146948337555,1.5745948553085327,-0.5322591662406921,7.701952934265137,1.0,1.0,13,14,0,1,0.10940348356962204,0.10940348356962204,1.164387822151184,0.005,0.005,all,418183
15,0.43663644790649414,0.0,0.43663644790649414,0.43663644790649414,0.8901684284210205,0.2639358937740326,1.417983889579773,-0.5438496470451355,8.153314590454102,0.415134459733963,0.2779419422149658,0.415134459733963,0.9002482891082764,0.9419961521446135,0.4830576777458191,1.8300719261169434,-0.525886058807373,9.043307304382324,1.0,1.0,14,15,0,1,0.14060662686824799,0.14060662686824799,1.3600537776947021,0.005,0.005,all,418183
16,0.41748905181884766,0.0,0.41748905181884766,0.41748905181884766,0.8898051977157593,0.41100895404815674,1.6504865884780884,-0.539906919002533,9.49787712097168,0.3934246897697449,0.434379518032074,0.3934246897697449,0.9007448554039001,0.9422862845561077,0.7201135754585266,2.2011289596557617,-0.5041936039924622,11.042500495910645,1.0,1.0,15,16,0,1,0.1671646684408188,0.1671646684408188,1.5489798784255981,0.005,0.005,all,418183
17,0.3952985405921936,0.0,0.3952985405921936,0.3952985405921936,0.8894760012626648,0.635867178440094,1.9881151914596558,-0.5217112302780151,11.46954345703125,0.3692675530910492,0.7014927268028259,0.3692675530910492,0.9008690118789673,0.9421525355720856,1.0768239498138428,2.7336161136627197,-0.45473814010620117,13.929512023925781,1.0,1.0,16,17,0,1,0.1830819994211197,0.1830819994211197,1.6387939453125,0.005,0.005,all,418183
18,0.3715851902961731,0.0,0.3715851902961731,0.3715851902961731,0.8890588283538818,0.9748856425285339,2.47218918800354,-0.47801506519317627,14.329431533813477,0.3441704511642456,1.133955717086792,0.3441704511642456,0.9010552167892456,0.942265707789335,1.588067650794983,3.490018129348755,-0.3824858069419861,18.028541564941406,1.0,1.0,17,18,0,1,0.18340761959552765,0.18340761959552765,1.6647334098815918,0.005,0.0015,all,418183
19,0.3484056890010834,0.0,0.3484056890010834,0.3484056890010834,0.8885025978088379,1.4604827165603638,3.157982110977173,-0.4102315306663513,18.4151668548584,0.3366888761520386,1.3015413284301758,0.3366888761520386,0.9009311199188232,0.9420229019414179,1.7726942300796509,3.7725048065185547,-0.3621622920036316,19.55171775817871,1.0,1.0,18,19,0,1,0.1662781983613968,0.1662781983613968,0.5138570070266724,0.0015,0.0015,all,418183
20,0.3418591320514679,0.0,0.3418591320514679,0.3418591320514679,0.8884316682815552,1.6354426145553589,3.413886547088623,-0.39135193824768066,19.937326431274414,0.32928231358528137,1.483616828918457,0.32928231358528137,0.9004966020584106,0.9419488255810364,1.9672784805297852,4.086245059967041,-0.35037070512771606,21.232749938964844,1.0,1.0,19,20,0,1,0.15798033773899078,0.15798033773899078,0.5451006293296814,0.0015,0.0015,all,418183
21,0.33556509017944336,0.0,0.33556509017944336,0.33556509017944336,0.8884458541870117,1.8191978931427002,3.6981115341186523,-0.38149935007095337,21.617431640625,0.3220212757587433,1.6818132400512695,0.3220212757587433,0.900682806968689,0.9421237280986039,2.1751513481140137,4.431227207183838,-0.3437873125076294,23.0782413482666,1.0,1.0,20,21,0,1,0.14828649163246155,0.14828649163246155,0.5769843459129333,0.0015,0.0015,all,418183
22,0.3296318054199219,0.0,0.3296318054199219,0.3296318054199219,0.8885735273361206,2.015226125717163,4.010781764984131,-0.3771117329597473,23.46115493774414,0.3149639666080475,1.8888112306594849,0.3149639666080475,0.900682806968689,0.9420187865880634,2.387730360031128,4.807776927947998,-0.3519499897956848,25.07999610900879,1.0,1.0,21,22,0,1,0.13745558261871338,0.13745558261871338,0.583258330821991,0.0015,0.0005,all,418183
23,0.3240794539451599,0.0,0.3240794539451599,0.3240794539451599,0.8888686895370483,2.2151267528533936,4.352128505706787,-0.38728660345077515,25.457897186279297,0.3127153217792511,1.963089942932129,0.3127153217792511,0.9007448554039001,0.9422554194059487,2.464076280593872,4.93949556350708,-0.35441678762435913,25.781055450439453,1.0,1.0,22,23,0,1,0.12577690184116364,0.12577690184116364,0.1958523392677307,0.0005,0.0005,all,418183
24,0.3223026394844055,0.0,0.3223026394844055,0.3223026394844055,0.8889708518981934,2.2869315147399902,4.471553325653076,-0.39002174139022827,26.155458450317383,0.3105167746543884,2.039222002029419,0.3105167746543884,0.9007448554039001,0.9422471886992397,2.542252540588379,5.073370456695557,-0.35774698853492737,26.493410110473633,1.0,1.0,23,24,0,1,0.1217157393693924,0.1217157393693924,0.20937415957450867,0.0005,0.0005,all,418183
25,0.3205508887767792,0.0,0.3205508887767792,0.3205508887767792,0.8890275955200195,2.360372543334961,4.593061447143555,-0.3932628035545349,26.862369537353516,0.30827605724334717,2.107832670211792,0.30827605724334717,0.9007448554039001,0.9423912260666482,2.6107335090637207,5.209238529205322,-0.3724728226661682,27.205150604248047,1.0,1.0,24,25,0,1,0.11795329302549362,0.11795329302549362,0.21999585628509521,0.0005,0.0005,all,418183
26,0.31879255175590515,0.0,0.31879255175590515,0.31879255175590515,0.8893057107925415,2.4244027137756348,4.716545581817627,-0.40696316957473755,27.569446563720703,0.30602848529815674,2.152301788330078,0.30602848529815674,0.9008690118789673,0.9419447102276819,2.648585319519043,5.34873104095459,-0.42632579803466797,27.901039123535156,1.0,1.0,25,26,0,1,0.11908800899982452,0.11908800899982452,0.22922170162200928,0.0005,0.0005,all,418183
27,0.31694653630256653,0.0,0.31694653630256653,0.31694653630256653,0.8894362449645996,2.4580118656158447,4.84337854385376,-0.46079203486442566,28.25737953186035,0.3038790822029114,2.2425284385681152,0.3038790822029114,0.9012414813041687,0.9428377419056144,2.743492603302002,5.486679553985596,-0.41887620091438293,28.647235870361328,1.0,1.0,26,27,0,1,0.22167545557022095,0.22167545557022095,0.22606393694877625,0.0005,0.0005,all,418183
28,0.3152329921722412,0.0,0.3152329921722412,0.3152329921722412,0.8897143602371216,2.5471532344818115,4.969270706176758,-0.45112764835357666,29.000070571899414,0.3020198345184326,2.372736692428589,0.3020198345184326,0.9009931683540344,0.9424159181867753,2.8863227367401123,5.6186137199401855,-0.36026641726493835,29.416358947753906,1.0,1.0,27,28,0,1,0.12017206102609634,0.12017206102609634,0.23181524872779846,0.0005,0.0005,all,418183
29,0.3139498829841614,0.0,0.3139498829841614,0.3139498829841614,0.8898080587387085,2.684907913208008,5.089066505432129,-0.38849955797195435,29.7591552734375,0.3004237413406372,2.470407485961914,0.3004237413406372,0.9007448554039001,0.942218381225758,2.9884567260742188,5.755257606506348,-0.3278276324272156,30.163562774658203,1.0,1.0,28,29,0,1,0.1378103345632553,0.1378103345632553,0.2176225185394287,0.0005,0.0005,all,418183
30,0.312897652387619,0.0,0.312897652387619,0.312897652387619,0.8894050717353821,2.7832579612731934,5.2126851081848145,-0.35682541131973267,30.49165916442871,0.298654705286026,2.5636115074157715,0.298654705286026,0.9009931683540344,0.9425208596973158,3.084601640701294,5.893691062927246,-0.3181138038635254,30.912540435791016,1.0,1.0,29,30,0,1,0.13222497701644897,0.13222497701644897,0.20912450551986694,0.0005,0.0005,all,418183
